test_id	gene_id	gene_name	event_type	event_components	chromosome	strand	left_anchor	right_anchor	n_tested_paths	tested_path_signatures	n_test_levels	statistic	empirical_p_value	fdr
ENSMUSG00000007659.19:B1	ENSMUSG00000007659.19	Bcl2l1	alternative first region	mutually exclusive exons	chr2	-	[152671346, 152672022]	null	3	[[[152672106, 152672230]], [[152672305, 152672586]], [[152673522, 152673648]]]	3	29.254123475166807	0.000290215588723	0.0155491063202505
ENSMUSG00000011877.14:B1	ENSMUSG00000011877.14	Git1	alternative first region	cassette exon	chr11	+	null	[77384396, 77384460]	2	[[], [[77384387, 77384396]]]	9	41.01765601543502	0.0001243781094527	0.0117598283094332
ENSMUSG00000013236.18:B1	ENSMUSG00000013236.18	Ptprs	alternative first region	mutually exclusive exons	chr17	-	[56765191, 56765377]	null	2	[[[56769103, 56769216]], [[56783339, 56783483]]]	11	34.87663766661717	0.0008706467661691	0.0259151772004176
ENSMUSG00000015599.10:B1	ENSMUSG00000015599.10	Ttbk1	alternative first region	multi-exon skipping	chr17	-	[46795075, 46795221]	null	2	[[], [[46798351, 46798601], [46795221, 46795237]]]	8	92.62603518762262	0.0001243781094527	0.0117598283094332
ENSMUSG00000017631.20:B1	ENSMUSG00000017631.20	Abr	alternative first region	alternative acceptor	chr11	-	[76355063, 76355116]	null	4	[[[76359080, 76359291]], [[76399713, 76399821], [76377263, 76377362], [76369820, 76370006], [76363314, 76363422], [76359541, 76359602]], [[76399713, 76400245], [76377263, 76377362], [76369820, 76370006], [76363314, 76363422], [76359541, 76359602]], [[76461856, 76462361], [76399713, 76399898], [76377263, 76377362], [76369820, 76370006], [76363314, 76363422], [76359541, 76359602]]]	8	104.1373300835694	0.0014510779436152	0.0353388780005695
ENSMUSG00000017760.17:B1	ENSMUSG00000017760.17	Ctsa	alternative first region	cassette exon	chr2	+	null	[164674820, 164675116]	2	[[], [[164674792, 164674820]]]	6	36.30563144310327	0.0002072968490878	0.0135079108959705
ENSMUSG00000018428.16:B1	ENSMUSG00000018428.16	Akap1	alternative first region	mutually exclusive exons	chr11	-	[88735084, 88736691]	null	3	[[[88742176, 88742329]], [[88754475, 88754543]], [[88755222, 88755412]]]	2	12.56809262815267	0.001865671641791	0.0405237326879117
ENSMUSG00000018593.14:B1	ENSMUSG00000018593.14	Sparc	alternative first region	alternative acceptor; mutually exclusive exons	chr11	-	[55300753, 55300823]	null	4	[[[55310613, 55310724]], [[55310613, 55310906]], [[55310904, 55311116], [55310613, 55310681]], [[55313826, 55314009]]]	5	34.4696898081952	0.0016998341625207	0.0390314301508331
ENSMUSG00000019820.12:B1	ENSMUSG00000019820.12	Utrn	alternative first region		chr10	-	[12413784, 12413957]	null	2	[[[12490234, 12490575]], [[12737311, 12737479], [12641014, 12641076], [12627238, 12627331], [12626208, 12626286], [12625774, 12625867], [12623658, 12623831], [12620975, 12621091], [12619788, 12619949], [12615110, 12615314], [12613828, 12614010], [12612695, 12612846], [12610841, 12610961], [12609642, 12609744], [12604454, 12604562], [12603476, 12603656], [12601954, 12602124], [12596562, 12596686], [12595761, 12595849], [12589876, 12590118], [12588997, 12589178], [12587181, 12587327], [12585709, 12585922], [12574745, 12574859], [12573732, 12573888], [12569107, 12569278], [12566473, 12566653], [12564036, 12564171], [12562075, 12562225], [12560153, 12560315], [12558988, 12559117], [12558020, 12558194], [12556215, 12556371], [12554323, 12554494], [12547494, 12547674], [12545863, 12545992], [12545399, 12545570], [12543243, 12543402], [12542442, 12542580], [12540690, 12540882], [12539109, 12539282], [12536522, 12536673], [12534239, 12534415], [12530442, 12530578], [12528454, 12528604], [12524886, 12524962], [12519146, 12519355], [12516670, 12516788], [12512339, 12512545], [12509687, 12509842], [12496934, 12497124]]]	8	56.43074032955428	0.0001243781094527	0.0117598283094332
ENSMUSG00000019923.15:B1	ENSMUSG00000019923.15	Zwint	alternative first region	alternative acceptor; cassette exon	chr10	+	null	[72490727, 72490809]	3	[[], [[72490676, 72490727]], [[72490726, 72490727]]]	6	64.48695163681441	0.0001243781094527	0.0117598283094332
ENSMUSG00000019978.17:B2	ENSMUSG00000019978.17	Epb41l2	cassette exon	cassette exon	chr10	+	[25388870, 25388979]	[25398194, 25399411]	2	[[], [[25388979, 25388983]]]	6	20.425490940038344	0.00136815920398	0.0349061570454605
ENSMUSG00000019990.16:B1	ENSMUSG00000019990.16	Pde7b	alternative first region	alternative acceptor	chr10	-	[20355420, 20355504]	null	4	[[[20423636, 20424074]], [[20423636, 20424216]], [[20600421, 20600442], [20494875, 20494936], [20486312, 20486351]], [[20600421, 20600824], [20494875, 20494936]]]	2	16.81281548731431	0.0018242122719734	0.040165988929023
ENSMUSG00000019990.16:B2	ENSMUSG00000019990.16	Pde7b	alternative last region	alternative donor; mutually exclusive exons	chr10	-	null	[20282873, 20282954]	3	[[[20273749, 20276378]], [[20276163, 20276378]], [[20282832, 20282873]]]	2	16.265917287529646	0.0005389718076285	0.0207913764510779
ENSMUSG00000020070.19:B1	ENSMUSG00000020070.19	Rufy2	alternative first region	cassette exon	chr10	+	null	[62816040, 62816111]	2	[[], [[62816020, 62816040]]]	10	29.254005718550616	0.0018242122719734	0.040165988929023
ENSMUSG00000020181.19:B1	ENSMUSG00000020181.19	Nav3	alternative first region		chr10	-	[109660433, 109660542]	null	2	[[[109667753, 109669082]], [[109835837, 109836080], [109739606, 109739724], [109738922, 109738975], [109719474, 109719547], [109716395, 109716579], [109702791, 109702860], [109699612, 109699752], [109688365, 109689395], [109677563, 109677679]]]	9	141.94562852750096	0.0001243781094527	0.0117598283094332
ENSMUSG00000020189.16:B1	ENSMUSG00000020189.16	Osbpl8	alternative first region	cassette exon	chr10	+	null	[111000662, 111001057]	2	[[], [[111000612, 111000662]]]	6	21.441764550625976	0.0014096185737976	0.035218553175401
ENSMUSG00000020256.15:B1	ENSMUSG00000020256.15	Aldh1l2	alternative first region	mutually exclusive exons	chr10	-	[83363168, 83363313]	null	2	[[[83369195, 83369259]], [[83369830, 83370004]]]	3	14.18407177017184	0.0008706467661691	0.0259151772004176
ENSMUSG00000020315.19:B1	ENSMUSG00000020315.19	Sptbn1	alternative first region	cassette exon; mutually exclusive exons	chr11	-	[30109293, 30109445]	null	3	[[[30147723, 30148257]], [[30169578, 30169772]], [[30217947, 30218169], [30169578, 30169772]]]	13	157.0588786518383	0.0005389718076285	0.0207913764510779
ENSMUSG00000020612.17:B1	ENSMUSG00000020612.17	Prkar1a	alternative first region	mutually exclusive exons	chr11	+	null	[109544604, 109544787]	2	[[[109541400, 109541450]], [[109541746, 109541899]]]	6	29.429337254063284	0.0004145936981757	0.0194094253650839
ENSMUSG00000020741.18:B1	ENSMUSG00000020741.18	Cluh	cassette exon	cassette exon	chr11	+	[74554856, 74554957]	[74555832, 74555895]	2	[[], [[74555599, 74555752]]]	5	17.04202925886102	0.0020729684908789	0.0429006612146705
ENSMUSG00000020747.19:B1	ENSMUSG00000020747.19	Tmem94	alternative first region		chr11	+	null	[115676265, 115676385]	3	[[[115656258, 115656379], [115668073, 115668203]], [[115666581, 115666715], [115666896, 115667036], [115667158, 115667247], [115668073, 115668203]], [[115671524, 115671793]]]	6	42.97835960101656	0.0002487562189054	0.0139477033437463
ENSMUSG00000020886.18:B1	ENSMUSG00000020886.18	Dlg4	alternative first region	alternative acceptor; mutually exclusive exons	chr11	+	null	[69921224, 69921278]	6	[[[69909269, 69909775], [69917748, 69917814]], [[69909659, 69909775]], [[69909704, 69909775], [69917748, 69917814]], [[69918613, 69918984]], [[69920312, 69920534]], [[69920350, 69920534]]]	10	276.31302802590653	0.0002072968490878	0.0135079108959705
ENSMUSG00000020894.17:B1	ENSMUSG00000020894.17	Vamp2	alternative first region	cassette exon	chr11	+	null	[68979335, 68979453]	2	[[], [[68979315, 68979335]]]	11	66.57481150537023	0.0001243781094527	0.0117598283094332
ENSMUSG00000020926.17:B1	ENSMUSG00000020926.17	Adam11	cassette exon	cassette exon	chr11	+	[102668456, 102668474]	[102668956, 102671088]	2	[[], [[102668474, 102668956]]]	8	98.26853098488571	0.0001243781094527	0.0117598283094332
ENSMUSG00000021061.16:B1	ENSMUSG00000021061.16	Sptb	alternative first region	cassette exon	chr12	-	[76756708, 76756797]	null	2	[[], [[76756797, 76757321]]]	8	98.36042808779348	0.0001243781094527	0.0117598283094332
ENSMUSG00000021087.19:B1	ENSMUSG00000021087.19	Rtn1	alternative first region		chr12	-	[72270105, 72270313]	null	2	[[[72283302, 72283498]], [[72455084, 72455828], [72354929, 72355703], [72350430, 72351192]]]	10	33.683013773716084	0.0008706467661691	0.0259151772004176
ENSMUSG00000021820.19:B1	ENSMUSG00000021820.19	Camk2g	alternative first region	alternative acceptor	chr14	-	[20843968, 20844034]	null	2	[[[20844034, 20844098]], [[20844034, 20844156]]]	5	23.63380640434116	0.0006218905472636	0.0212677746021664
ENSMUSG00000021910.16:B1	ENSMUSG00000021910.16	Nisch	whole-gene complex		chr14	-	null	null	3	[[[30928523, 30928657], [30926398, 30926482], [30925183, 30925366], [30914537, 30914586], [30913341, 30913505], [30912952, 30913048], [30911687, 30911783], [30910595, 30910751], [30909606, 30909675], [30909015, 30909201], [30907646, 30908844]], [[30928523, 30928658], [30926398, 30926482], [30923822, 30925366]], [[30928523, 30928758], [30926398, 30926482], [30925183, 30925366], [30914537, 30914586], [30913341, 30913505], [30912952, 30913048], [30911687, 30911783], [30910595, 30910751], [30909606, 30909675], [30909015, 30909201], [30908715, 30908844], [30907268, 30907382], [30906898, 30907007], [30902778, 30902906], [30901792, 30901842], [30898286, 30899669], [30896212, 30896843], [30895543, 30895700], [30895020, 30895149], [30894393, 30894555], [30892886, 30894135]]]	12	212.3036496535242	0.0002487562189054	0.0139477033437463
ENSMUSG00000022010.20:B1	ENSMUSG00000022010.20	Tsc22d1	alternative first region	alternative acceptor; mutually exclusive exons	chr14	+	null	[76742688, 76742737]	7	[[[76653026, 76656449]], [[76714356, 76714463]], [[76725198, 76725364]], [[76725875, 76726115]], [[76741917, 76742281]], [[76741969, 76742281]], [[76742537, 76742688]]]	9	129.10083916678195	0.0008706467661691	0.0259151772004176
ENSMUSG00000022194.16:B3	ENSMUSG00000022194.16	Pabpn1	alternative last region	alternative donor; mutually exclusive exons	chr14	+	[55134577, 55134729]	null	4	[[[55134729, 55134856]], [[55134729, 55135014]], [[55134729, 55135613]], [[55135473, 55135626]]]	10	127.8026628301668	0.0008706467661691	0.0259151772004176
ENSMUSG00000022523.11:B1	ENSMUSG00000022523.11	Fgf12	alternative first region	alternative acceptor; mutually exclusive exons	chr16	-	[28217029, 28217140]	null	3	[[[28263744, 28264827]], [[28263744, 28265029]], [[28571585, 28571820]]]	6	36.38005575060652	0.0007462686567164	0.024314239612747
ENSMUSG00000022629.18:B1	ENSMUSG00000022629.18	Kif21a	alternative first region	alternative acceptor	chr15	-	[90933861, 90934021]	null	2	[[[90934021, 90934041]], [[90934021, 90934048]]]	10	29.621459143942047	0.0012023217247097	0.0324189861503294
ENSMUSG00000022656.16:B1	ENSMUSG00000022656.16	Nectin3	whole-gene complex		chr16	-	null	null	6	[[[46231469, 46231532], [46216442, 46216505], [46215220, 46215635]], [[46231469, 46231588], [46216442, 46216484], [46215267, 46215635]], [[46268491, 46268873], [46258292, 46258431], [46256716, 46256801], [46216442, 46216505], [46215351, 46215635]], [[46316977, 46317215], [46284180, 46284522], [46279177, 46279474], [46278476, 46278594], [46274986, 46275138], [46258292, 46258431], [46256341, 46256801]], [[46316977, 46317330], [46284180, 46284522], [46279177, 46279474], [46278476, 46278594], [46274986, 46275138], [46258292, 46258431], [46256716, 46256801], [46216442, 46216505], [46208068, 46215635]], [[46316977, 46317330], [46284180, 46284522], [46279177, 46279474], [46278476, 46278594], [46274986, 46275138], [46267531, 46269331]]]	2	24.210830440731456	0.0008706467661691	0.0259151772004176
ENSMUSG00000022762.19:B1	ENSMUSG00000022762.19	Ncam2	alternative last region		chr16	+	[81386518, 81386699]	null	2	[[[81392094, 81394693]], [[81412590, 81412795], [81418228, 81418348], [81420229, 81423716]]]	7	51.78426386385172	0.0001658374792703	0.0135079108959705
ENSMUSG00000022892.12:B1	ENSMUSG00000022892.12	App	alternative first region	alternative acceptor	chr16	-	[84970389, 84970593]	null	3	[[[84970593, 84970595]], [[84970593, 84970623]], [[84970593, 84970646]]]	13	233.3480585708021	0.0004145936981757	0.0194094253650839
ENSMUSG00000022892.12:B3	ENSMUSG00000022892.12	App	cassette exon	cassette exon	chr16	-	[84751531, 84752320]	[84810514, 84810614]	2	[[[84774951, 84775173], [84762557, 84762658], [84759609, 84759756]], [[84774951, 84775173], [84768295, 84768349], [84762557, 84762658], [84759609, 84759756]]]	13	149.80353758011915	0.0001243781094527	0.0117598283094332
ENSMUSG00000022957.21:B1	ENSMUSG00000022957.21	Itsn1	whole-gene complex	retained intron	chr16	+	null	null	7	[[[91526240, 91526487], [91579048, 91579108], [91580950, 91581043], [91582175, 91582239], [91590494, 91590655], [91598414, 91598594], [91599922, 91600019], [91602980, 91603081], [91608977, 91609041], [91612289, 91612427], [91613732, 91613845], [91615295, 91615558], [91617338, 91617488], [91617566, 91617707], [91624748, 91624836], [91625081, 91625221], [91633948, 91634076], [91636503, 91636730], [91638376, 91638498], [91639515, 91639530], [91645609, 91645857], [91647693, 91647853], [91650582, 91650788], [91651460, 91651543], [91655096, 91655263], [91658081, 91658127], [91660144, 91660266], [91664907, 91665025], [91666505, 91666697], [91684287, 91684409], [91686005, 91686112], [91690679, 91690863], [91693214, 91693313], [91696392, 91696560], [91702174, 91702387], [91703645, 91703767], [91705290, 91705373], [91705653, 91705737], [91706092, 91706266], [91708748, 91710876]], [[91526257, 91526487], [91579048, 91579108], [91580950, 91581043], [91582175, 91582239], [91590494, 91590655], [91598414, 91598594], [91599922, 91600019], [91602980, 91603081], [91608977, 91609041], [91612289, 91612427], [91613732, 91613845], [91615295, 91615558], [91617338, 91617488], [91617566, 91617707], [91624748, 91624836], [91625081, 91629241]], [[91526258, 91526487], [91579048, 91579108], [91580950, 91581043], [91582175, 91582239], [91590494, 91590655], [91598414, 91598594], [91599922, 91600019], [91602980, 91603081], [91608977, 91609041], [91612289, 91612427], [91613732, 91613845], [91615295, 91615558], [91617338, 91617488], [91617566, 91617707], [91624748, 91624836], [91625081, 91625221], [91633948, 91634076], [91636503, 91636730], [91638376, 91638498], [91645609, 91645857], [91647693, 91647853], [91650582, 91650788], [91651460, 91651543], [91655096, 91655263], [91658081, 91658127], [91660144, 91660266], [91664907, 91665025], [91666505, 91666697], [91667080, 91668543]], [[91526260, 91526487], [91579048, 91579108], [91580950, 91581043], [91582175, 91582239], [91590494, 91590655], [91598414, 91598594], [91599922, 91600019], [91602980, 91603081], [91608977, 91609041], [91612289, 91612427], [91613732, 91613845], [91615295, 91615558], [91617338, 91617488], [91617566, 91617707], [91624748, 91624836], [91625081, 91625221], [91633948, 91634076], [91636503, 91636730], [91638376, 91638498], [91645609, 91645857], [91647693, 91647853], [91650582, 91650788], [91651460, 91651543], [91660144, 91660266], [91664907, 91665025], [91666505, 91666697], [91667080, 91668541]], [[91526479, 91526487], [91579048, 91579108], [91580950, 91581043], [91582175, 91582239], [91590494, 91590655], [91598414, 91598594], [91599922, 91600019], [91602980, 91603081], [91608977, 91609041], [91612289, 91612427], [91613732, 91613845], [91615295, 91615558], [91617338, 91617488], [91617566, 91617707], [91624748, 91624836], [91625081, 91625221], [91633948, 91634076], [91636503, 91636730], [91638376, 91638498], [91639515, 91639530], [91645609, 91645857], [91647693, 91647853], [91650582, 91650788], [91651460, 91651543], [91660144, 91660266], [91664907, 91665025], [91666505, 91666697], [91667080, 91667385]], [[91700916, 91701326], [91702174, 91702387], [91703645, 91703767], [91705290, 91705373], [91705653, 91705737], [91706092, 91706266], [91708748, 91709224]], [[91700958, 91701101], [91701184, 91701326], [91702174, 91702387], [91703645, 91703767], [91705290, 91705373], [91705653, 91705737], [91706092, 91706266], [91708748, 91709224]]]	7	97.86395111367165	0.0007877280265339	0.0251551294301121
ENSMUSG00000022995.17:B1	ENSMUSG00000022995.17	Enah	alternative first region	alternative acceptor	chr1	-	[181789318, 181789484]	null	3	[[[181847094, 181847226]], [[181847094, 181847545]], [[181847480, 181847555], [181847094, 181847447]]]	7	31.600169504001315	0.0023217247097844	0.0468424960275331
ENSMUSG00000022995.17:B5	ENSMUSG00000022995.17	Enah	cassette exon	cassette exon	chr1	-	[181735862, 181735941]	[181740871, 181740938]	2	[[], [[181739161, 181739224]]]	7	27.237488508268143	0.0009535655058043	0.0276993546324601
ENSMUSG00000023868.18:B1	ENSMUSG00000023868.18	Pde10a	alternative first region	mutually exclusive exons	chr17	+	null	[9147923, 9148044]	5	[[[8744203, 8744647], [9117692, 9117821], [9139335, 9139364]], [[8745632, 8745947], [8975793, 8975925], [9117692, 9117821], [9139335, 9139364]], [[9020524, 9020977], [9117692, 9117821], [9139335, 9139364]], [[9068816, 9069076], [9117692, 9117821], [9139335, 9139364]], [[9099257, 9099311], [9117692, 9117821], [9139335, 9139364]]]	6	352.69568736643305	0.0002072968490878	0.0135079108959705
ENSMUSG00000024109.19:B1	ENSMUSG00000024109.19	Nrxn1	alternative first region	alternative acceptor; cassette exon	chr17	-	[90366912, 90366991]	null	5	[[[90762233, 90763300], [90670187, 90670369], [90515750, 90515922], [90469541, 90469861]], [[91395382, 91396154], [91302888, 91302906], [91299542, 91299572], [91298794, 91298806], [91011493, 91011795], [91008171, 91008333], [90950418, 90950857], [90937312, 90937696], [90930847, 90931051], [90928292, 90928319], [90904934, 90905057], [90897275, 90897657], [90896098, 90896289], [90872732, 90872906], [90868168, 90868288], [90670187, 90670369], [90515750, 90515922], [90471219, 90471309], [90469541, 90469861]], [[91395382, 91396154], [91302888, 91302906], [91299542, 91299572], [91298794, 91298806], [91011493, 91011795], [91009394, 91009439], [91008171, 91008333], [90950418, 90950857], [90937312, 90937696], [90930847, 90931051], [90928292, 90928319], [90904934, 90905057], [90897275, 90897657], [90896098, 90896289], [90872732, 90872906], [90868168, 90868288], [90670187, 90670369], [90515750, 90515922], [90471219, 90471309], [90469541, 90469861]], [[91395382, 91396335], [91302888, 91302906], [91299542, 91299572], [91298794, 91298806], [91011493, 91011795], [91008171, 91008333], [90950418, 90950857], [90937312, 90937696], [90930847, 90931051], [90928292, 90928319], [90904934, 90905057], [90897275, 90897657], [90896098, 90896289], [90872732, 90872906], [90868168, 90868288], [90670187, 90670369], [90515750, 90515922], [90471219, 90471309], [90469541, 90469861]], [[91400026, 91400161], [91395382, 91397033], [91302888, 91302906], [91299542, 91299572], [91011493, 91011795], [91008171, 91008333], [90950418, 90950857], [90937312, 90937696], [90930847, 90931051], [90928292, 90928319], [90904934, 90905057], [90897275, 90897657], [90896098, 90896289], [90872732, 90872906], [90868168, 90868288], [90670187, 90670369], [90515750, 90515922], [90471219, 90471309], [90469541, 90469861]]]	12	176.2414096675784	0.0005389718076285	0.0207913764510779
ENSMUSG00000024163.18:B1	ENSMUSG00000024163.18	Mapk8ip3	alternative first region	alternative acceptor; cassette exon	chr17	-	[25155510, 25155868]	null	4	[[], [[25155868, 25155886]], [[25155868, 25155942]], [[25155868, 25155951]]]	10	81.20643700064102	0.0024046434494195	0.0479140112111618
ENSMUSG00000024277.15:B1	ENSMUSG00000024277.15	Mapre2	alternative first region	mutually exclusive exons	chr18	+	null	[23965909, 23966037]	3	[[[23885449, 23885477], [23905660, 23905716]], [[23886781, 23886926], [23905660, 23905716]], [[23937040, 23937278]]]	6	44.45242783199228	0.0002072968490878	0.0135079108959705
ENSMUSG00000024302.17:B1	ENSMUSG00000024302.17	Dtna	alternative first region	alternative acceptor; cassette exon	chr18	+	null	[23548566, 23548682]	3	[[], [[23548498, 23548566]], [[23548546, 23548566]]]	7	31.23957609996978	0.0020729684908789	0.0429006612146705
ENSMUSG00000024462.18:B1	ENSMUSG00000024462.18	Gabbr1	whole-gene complex		chr17	+	null	null	4	[[[37356857, 37357181], [37357586, 37357668], [37358345, 37358549], [37359312, 37359498], [37360668, 37360689], [37361890, 37362051], [37365022, 37365157], [37365628, 37365799], [37366737, 37366839], [37367187, 37367253], [37367679, 37367871], [37373425, 37373668], [37374221, 37374285], [37375551, 37375629], [37378105, 37378256], [37378667, 37378800], [37380003, 37380120], [37380204, 37380312], [37380872, 37380966], [37381545, 37381673], [37382744, 37382873], [37383035, 37383179], [37383744, 37385959]], [[37356919, 37357181], [37357586, 37357668], [37358345, 37358549], [37359312, 37360359]], [[37357459, 37357668], [37358345, 37358549], [37359312, 37360359]], [[37361522, 37362051], [37365022, 37365157], [37365628, 37365799], [37366737, 37366839], [37367187, 37367253], [37367679, 37367871], [37373425, 37373668], [37374221, 37374285], [37375551, 37375629], [37378105, 37378256], [37378667, 37378800], [37380003, 37380120], [37380204, 37380312], [37380872, 37380966], [37381545, 37381673], [37382744, 37382873], [37383035, 37383179], [37383744, 37385196]]]	11	191.1022268413799	0.0004145936981757	0.0194094253650839
ENSMUSG00000024524.18:B1	ENSMUSG00000024524.18	Gnal	whole-gene complex		chr18	+	null	null	4	[[[67221286, 67221944], [67267283, 67267356], [67268382, 67268437], [67268589, 67268709], [67324440, 67324538], [67344118, 67344173], [67345295, 67345369], [67346142, 67346201], [67346558, 67346679], [67350140, 67350271], [67351574, 67351642], [67355639, 67359863]], [[67221354, 67222545]], [[67221405, 67221944], [67267283, 67267356], [67268382, 67268437], [67268589, 67268709], [67324440, 67325917]], [[67266092, 67267041], [67267283, 67267356], [67268382, 67268437], [67268589, 67268709], [67324440, 67324538], [67344118, 67344173], [67345295, 67345369], [67346142, 67346201], [67346558, 67346679], [67350140, 67350271], [67351574, 67351642], [67355639, 67357306]]]	7	107.914287815629	0.0012437810945273	0.0324189861503294
ENSMUSG00000024533.18:B1	ENSMUSG00000024533.18	Spire1	alternative first region	alternative acceptor	chr18	-	[67678684, 67678810]	null	2	[[[67685643, 67685791]], [[67685643, 67685847]]]	6	19.75143981653946	0.0017827529021558	0.040165988929023
ENSMUSG00000024589.19:B1	ENSMUSG00000024589.19	Nedd4l	alternative first region	alternative acceptor; mutually exclusive exons	chr18	+	null	[65207794, 65207876]	7	[[[65020775, 65021166], [65130418, 65130492]], [[65021118, 65021166], [65130418, 65130492]], [[65022099, 65022121], [65130418, 65130492]], [[65054187, 65054338], [65130418, 65130492]], [[65156619, 65157060]], [[65158872, 65159155]], [[65184060, 65184243]]]	7	75.16480096833584	0.0021973466003316	0.0445193500285686
ENSMUSG00000024617.17:B1	ENSMUSG00000024617.17	Camk2a	whole-gene complex		chr18	+	null	null	3	[[[61058703, 61058912], [61074358, 61074453], [61080057, 61080117], [61084364, 61084419], [61085205, 61085271], [61085356, 61085429], [61088608, 61088711], [61090175, 61090259], [61090371, 61090466], [61091212, 61091335], [61091644, 61091728], [61093074, 61093117], [61096994, 61097035], [61102082, 61102115], [61103065, 61103114], [61111011, 61111087], [61113131, 61113226], [61117397, 61117626], [61117848, 61119479]], [[61058796, 61058912], [61074358, 61074453], [61076180, 61076468]], [[61096671, 61097035], [61103065, 61103114], [61111011, 61111087], [61113131, 61113226], [61117397, 61117626], [61117848, 61118769]]]	13	163.40704306736734	0.0005804311774461	0.0212033268003417
ENSMUSG00000024758.16:B1	ENSMUSG00000024758.16	Rtn3	alternative first region	alternative acceptor	chr19	-	[7460303, 7460567]	null	2	[[[7460567, 7460637]], [[7460567, 7460646]]]	10	65.5517389478191	0.0001658374792703	0.0135079108959705
