method	contrast_id	level_a	level_b	feature_id	gene_id	p_value	q_value	n_junctions	mapping_complete	short_read_effect_norm	native_effect_dot_product	long_read_effect_norm	pooled_dot_product	pooled_cosine	pooled_replicated	replicate_1_dot_product	replicate_2_dot_product	both_replicates_replicated	minimum_pooled_depth	minimum_replicate_depth	block_id	gene_name	event_type	n_paths	n_mappable_paths	n_mapped_transcripts	original_effect_norm	replicate_1_cosine	replicate_2_cosine	technical_g_test_p_value	counts_a_rep1	counts_a_rep2	counts_b_rep1	counts_b_rep2	technical_g_test_fdr	technical_bh_directional_replication	statistic	raw_p_value	rank	p_tie_size	n_evaluable	n_agreement	n_observed	cumulative_agreement	p_value_pairwise
LeafCutter	cell_type__ASC__INH_medium_spiny	ASC	INH_medium_spiny	chr2:clu_789_+	ENSMUSG00000027525	4.94562267582148e-12	1.493578048098087e-10	3.0	True	0.4493395442610489	NA	0.2494083065560739	0.1118903335485162	0.9984056141242575	True	0.1076365629804588	0.1187373088518807	True	368.74	111.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	1	56	10	11	0.9090909090909091	NA
LeafCutter	cell_type__EX_cortical__ODC	EX_cortical	ODC	chr13:clu_5195_+	ENSMUSG00000054728	2.0076583500966288e-11	2.7437997451320605e-10	3.0	True	0.4667110902490663	NA	0.0665338410223018	0.031048865310482	0.9998964265407988	True	0.036279689668704	0.0275328794597078	True	4972.99	2016.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	1	56	11	12	0.9166666666666666	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr14:clu_5475_+	ENSMUSG00000021843	2.9173158972838e-11	4.946753043220357e-10	3.0	True	0.1908717252501022	NA	0.0168115207211151	0.003115405659613	0.9708810071325052	True	0.0063370364678223	0.0014836885316104	True	1808.6	635.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	1	56	12	13	0.9230769230769231	NA
LeafCutter	cell_type__ASC__EX_cerebellum_granule	ASC	EX_cerebellum_granule	chr3:clu_1147_+	ENSMUSG00000027797	1.57086857971263e-10	7.629933101461347e-09	2.0	True	0.4326549101020432	NA	0.2153692776223263	-0.0931805754484295	-1.0	False	-0.1005906481862285	-0.08932195829071	False	251.2	8.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	1	56	12	14	0.8571428571428571	NA
LeafCutter	cell_type__EX_cortical__INH_medium_spiny	EX_cortical	INH_medium_spiny	chr14:clu_5451_+	ENSMUSG00000040640	5.707445853403771e-10	1.9747762652777044e-08	3.0	True	0.251797422146152	NA	0.2217406059085173	0.0553829744997522	0.9919271273698288	True	0.0451526868846225	0.0623115864373827	True	300.67	126.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	1	56	13	15	0.8666666666666667	NA
LeafCutter	cell_type__EX_cerebellum_granule__ODC	EX_cerebellum_granule	ODC	chr13:clu_5195_+	ENSMUSG00000054728	7.34984187579619e-10	2.06612221619604e-08	3.0	True	0.3745315612220507	NA	0.072291134070665	0.0270752552273573	0.9999979287905234	True	0.0039508366324546	0.0272860351918765	True	185.09	13.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	1	56	14	16	0.875	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr2:clu_707_+	ENSMUSG00000037902	1.30185429838931e-09	1.6924105879061033e-08	3.0	True	0.149442140132655	NA	0.4107371139054496	0.052631160065416	0.857444298817212	True	0.0581228966131606	0.0480993711958173	True	257.43	114.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	1	56	15	17	0.8823529411764706	NA
LeafCutter	cell_type__EX_cerebellum_granule__EX_cortical	EX_cerebellum_granule	EX_cortical	chr12:clu_4935_+	ENSMUSG00000020598	4.2160037893992204e-09	7.367466621975137e-07	3.0	True	0.2040859185351488	NA	0.1470460921571195	0.0296342895685746	0.9874792817146968	True	0.217204380235521	0.0337749108528224	True	50.760000000000005	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	1	56	16	18	0.8888888888888888	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr2:clu_620_+	ENSMUSG00000027012	5.3223597465007e-09	6.695871939146043e-08	3.0	True	0.1772727300495909	NA	0.8195832104173596	0.1390589015359468	0.9571143075149212	True	0.1546581935909164	0.1308044311492533	True	445.69	184.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	1	56	17	19	0.8947368421052632	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr10:clu_4162_+	ENSMUSG00000025404	4.46300105003156e-08	5.119324733859731e-07	3.0	True	0.3131083852841918	NA	0.1179631327061256	0.004529635200048	0.1226372013191437	True	0.046754088114945	-0.0433129687199401	False	20.1	9.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	1	56	18	20	0.9	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr2:clu_750_+	ENSMUSG00000061689	1.67996391691599e-07	1.8199609099923223e-06	2.0	True	0.2780060731936838	NA	0.0823775896016371	0.0229014702043119	1.0	True	0.0206331336562428	0.0239024606757087	True	250.05	105.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	1	56	19	21	0.9047619047619048	NA
LeafCutter	cell_type__EX_cortical__ODC	EX_cortical	ODC	chr1:clu_464_+	ENSMUSG00000026490	3.31276375482092e-07	3.521345176420756e-06	3.0	True	0.1586726762567912	NA	0.052933192986196	0.0075691194358547	0.9011874175836896	True	0.0096335516843313	0.0051093625210885	True	700.8	241.66000000000005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	1	56	20	22	0.9090909090909091	NA
LeafCutter	cell_type__EX_cerebellum_granule__EX_cortical	EX_cerebellum_granule	EX_cortical	chr2:clu_789_+	ENSMUSG00000027525	3.84521257514638e-07	4.272288422749948e-05	3.0	True	0.1694956726817796	NA	0.7714405016085735	0.0462784832545433	0.3539305620511253	True	0.0597923711592388	0.0445536193872858	True	337.38	23.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	1	56	21	23	0.9130434782608695	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr6:clu_2529_+	ENSMUSG00000063870	5.99835733179133e-07	5.998357331791331e-06	2.0	True	0.1325878210949151	NA	0.4144483057659683	0.0549507978179889	1.0	True	0.0608988828901772	0.0525072857606898	True	258.54	91.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	1	56	22	24	0.9166666666666666	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr2:clu_745_+	ENSMUSG00000027624	1.17120229983796e-06	1.1419222423420113e-05	3.0	True	0.0640745365797551	NA	0.7916183134768813	0.0231612257219223	0.4566255754679569	True	0.0278706351766288	0.0151641153271377	True	20.02	7.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	1	56	23	25	0.92	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr6:clu_2465_+	ENSMUSG00000031865	1.56040862673886e-06	1.4842911327515984e-05	3.0	True	0.1479290916643784	NA	0.4302279316676356	-0.0511928644030707	-0.8043725421130421	False	-0.0616512196529331	-0.0483993650155316	False	105.92	41.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	1	56	23	26	0.8846153846153846	NA
LeafCutter	cell_type__INH_medium_spiny__ODC	INH_medium_spiny	ODC	chr1:clu_464_+	ENSMUSG00000026490	4.79147728782662e-06	7.127322465642098e-05	3.0	True	0.1820225562882366	NA	0.0598538403759087	0.0080562941656528	0.7394657870767782	True	0.0090680198036386	0.0075107610107873	True	547.16	93.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	1	56	24	27	0.8888888888888888	NA
LeafCutter	cell_type__ASC__INH_medium_spiny	ASC	INH_medium_spiny	chr6:clu_2529_+	ENSMUSG00000063870	5.84347372490327e-06	9.80405036067104e-05	2.0	True	0.1754268047005165	NA	0.4289998744146973	0.0752580771854932	1.0000000000000002	True	0.0336208372374094	0.1075024618320471	True	258.54	91.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	1	56	25	28	0.8928571428571429	NA
LeafCutter	cell_type__INH_medium_spiny__ODC	INH_medium_spiny	ODC	chr11:clu_4501_+	ENSMUSG00000017421	1.09399231255192e-05	0.0001239857954225	3.0	True	0.10705546438338	NA	0.1403092003756021	0.0150179920143988	0.9998086269489038	True	0.0208967923336655	0.0085022440367263	True	373.86	131.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	1	56	26	29	0.896551724137931	NA
LeafCutter	cell_type__ASC__INH_medium_spiny	ASC	INH_medium_spiny	chr6:clu_2465_+	ENSMUSG00000031865	1.10857864081821e-05	0.0001673953747635	3.0	True	0.1956905535251133	NA	0.2795471569414067	-0.0540450160125513	-0.987940315751943	False	-0.0538087791209758	-0.0543375726391743	False	105.92	41.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	1	56	26	30	0.8666666666666667	NA
LeafCutter	cell_type__EX_cerebellum_granule__ODC	EX_cerebellum_granule	ODC	chr6:clu_2529_+	ENSMUSG00000063870	1.29556516741247e-05	0.000204861242097	2.0	True	0.2509185932127296	NA	0.20044677281313	0.0502958222483022	1.0	True	0.1337123477997026	0.0521731254283396	True	307.12	3.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	1	56	27	31	0.8709677419354839	NA
LeafCutter	cell_type__ASC__INH_medium_spiny	ASC	INH_medium_spiny	chr2:clu_620_+	ENSMUSG00000027012	1.81409643532662e-05	0.0002381987493341	3.0	True	0.1816012783696506	NA	0.7317260886632688	0.1213446042695132	0.9131729300062849	True	0.124677439550492	0.1214973656169281	True	445.69	184.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	1	56	28	32	0.875	NA
LeafCutter	cell_type__EX_cerebellum_granule__INH_medium_spiny	EX_cerebellum_granule	INH_medium_spiny	chr13:clu_5195_+	ENSMUSG00000054728	2.63757573300012e-05	0.0012218764005809	3.0	True	0.1394043255106339	NA	0.0304388364094544	-0.0042423044099185	-0.9997640874361694	False	0.002815974651887	-0.0027124116194496	False	185.09	13.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	1	56	28	33	0.8484848484848485	NA
LeafCutter	cell_type__EX_cerebellum_granule__INH_medium_spiny	EX_cerebellum_granule	INH_medium_spiny	chr9:clu_3632_+	ENSMUSG00000032336	5.02696745914603e-05	0.0019755982114443	3.0	True	0.1817373506449999	NA	0.8417105573004998	0.1457664586052369	0.95290725978297	True	NA	0.186971031390115	NA	48.39	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	1	56	29	34	0.8529411764705882	NA
LeafCutter	cell_type__ASC__EX_cerebellum_granule	ASC	EX_cerebellum_granule	chr6:clu_2529_+	ENSMUSG00000063870	7.56685648407395e-05	0.0014292951136584	2.0	True	0.1702635080647928	NA	0.4249075444998735	0.0723462491297455	1.0	True	0.1153731279584867	0.0809963167138143	True	258.54	3.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	1	56	30	35	0.8571428571428571	NA
LeafCutter	cell_type__EX_cerebellum_granule__INH_medium_spiny	EX_cerebellum_granule	INH_medium_spiny	chr8:clu_3499_+	ENSMUSG00000036564	0.0001098178016249	0.0039234905489623	3.0	True	0.1540982464640535	NA	0.0034874151110126	-7.220106951417933e-05	-0.1343514286786662	False	-0.0001090919547217	NA	NA	30.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	1	56	30	36	0.8333333333333334	NA
LeafCutter	cell_type__EX_cerebellum_granule__EX_cortical	EX_cerebellum_granule	EX_cortical	chr14:clu_5475_+	ENSMUSG00000021843	0.0001850980601792	0.0092416817189471	3.0	True	0.1016097074871536	NA	0.011303872941539	0.0011191074784748	0.974337301820972	True	0.0048728747808605	0.0004784320561289	True	436.28	32.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	1	56	31	37	0.8378378378378378	NA
LeafCutter	cell_type__EX_cortical__ODC	EX_cortical	ODC	chr6:clu_2529_+	ENSMUSG00000063870	0.0002306074296844	0.001890980923412	2.0	True	0.2132429062428519	NA	0.1899875340792248	0.0405134939169667	1.0	True	0.0670832342551224	0.0273453893600319	True	647.36	217.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	1	56	32	38	0.8421052631578947	NA
LeafCutter	cell_type__ASC__INH_medium_spiny	ASC	INH_medium_spiny	chr1:clu_320_+	ENSMUSG00000015222	0.0002407139787055	0.0025067455713469	2.0	True	0.2070416589517674	NA	0.1904334915570487	0.0394276660119487	1.0	True	-0.0043973525307106	0.0574628782474274	False	46.09	13.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	1	56	33	39	0.8461538461538461	NA
LeafCutter	cell_type__EX_cortical__INH_medium_spiny	EX_cortical	INH_medium_spiny	chr2:clu_789_+	ENSMUSG00000027525	0.0004199733585217	0.0068114429085238	3.0	True	0.1895264843739183	NA	0.1033270235629647	0.019234282735213	0.9821824498770724	True	0.0234026688222773	0.0152037212306263	True	880.63	384.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	1	56	34	40	0.85	NA
LeafCutter	cell_type__ASC__INH_medium_spiny	ASC	INH_medium_spiny	chr11:clu_4501_+	ENSMUSG00000017421	0.0006702167771112	0.006746848889586	3.0	True	0.0423296805002993	NA	0.0864547465897265	0.0028987281142734	0.7920883943106709	True	0.002936766457013	0.0022823412052718	True	224.58	90.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	1	56	35	41	0.8536585365853658	NA
LeafCutter	cell_type__INH_medium_spiny__ODC	INH_medium_spiny	ODC	chr6:clu_2529_+	ENSMUSG00000063870	0.0007353367049063	0.0070004054307079	2.0	True	0.2560818898484533	NA	0.2045391027279537	0.0523787599744813	1.0	True	0.0120173803183325	0.0883539292211306	True	562.19	271.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	1	56	36	42	0.8571428571428571	NA
LeafCutter	cell_type__EX_cortical__ODC	EX_cortical	ODC	chr11:clu_4501_+	ENSMUSG00000017421	0.0008379163115043	0.0064995130108576	3.0	True	0.1060044066816985	NA	0.1233279951639415	0.0116815097843037	0.8935387389524375	True	0.0170052057321129	0.0087723482394706	True	684.8	235.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	1	56	37	43	0.8604651162790697	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr11:clu_4501_+	ENSMUSG00000017421	0.0009180241186294	0.0061729207976804	3.0	True	0.0933277364818397	NA	0.073043909385403	0.003352649889305	0.4918055907547274	True	0.0080581298745241	0.0011234371169696	True	224.58	90.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	1	56	38	44	0.8636363636363636	NA
LeafCutter	cell_type__EX_cortical__ODC	EX_cortical	ODC	chr2:clu_620_+	ENSMUSG00000027012	0.0009380799853958	0.0070849725212788	3.0	True	0.1538341877745321	NA	0.6489492068767337	0.0964672675615284	0.9663098543304508	True	0.1184754950390049	0.0874288478214425	True	2396.16	740.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	1	56	39	45	0.8666666666666667	NA
LeafCutter	cell_type__EX_hippocampus_granule__INH_medium_spiny	EX_hippocampus_granule	INH_medium_spiny	chr2:clu_531_+	ENSMUSG00000026833	0.0012374043463216	0.0445465564675776	2.0	True	0.0298607171937073	NA	0.2947726179899135	0.0088021217822455	1.0	True	0.0121087828300316	0.0012277282541681	True	30.0	11.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	1	56	40	46	0.8695652173913043	NA
LeafCutter	cell_type__ASC__EX_cerebellum_granule	ASC	EX_cerebellum_granule	chr10:clu_4162_+	ENSMUSG00000025404	0.001371548968108	0.0194302770481966	3.0	True	0.2897662019301631	NA	0.1728880992699814	0.0497845566719228	0.9937606959587384	True	0.0639710068904305	0.0167538808728793	True	20.1	2.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	1	56	41	47	0.8723404255319149	NA
LeafCutter	cell_type__EX_cerebellum_granule__INH_medium_spiny	EX_cerebellum_granule	INH_medium_spiny	chr3:clu_1259_+	ENSMUSG00000028161	0.0015954193644768	0.0348333227910767	3.0	True	0.0764613024132833	NA	0.0366990149995547	0.0023498753534656	0.8374304086889329	True	0.0006031659825452	0.0021676094787457	True	3542.5	131.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	1	56	42	48	0.875	NA
LeafCutter	cell_type__ASC__INH_medium_spiny	ASC	INH_medium_spiny	chr2:clu_750_+	ENSMUSG00000061689	0.0024668877862097	0.0196052660904034	2.0	True	0.2202215905973366	NA	0.1429515129336079	0.0314810095565348	0.9999999999999998	True	0.0381914890179051	0.0244188543750939	True	250.05	105.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	1	56	43	49	0.8775510204081632	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr1:clu_320_+	ENSMUSG00000015222	0.0024782101084345	0.0158442941358927	2.0	True	0.1451784525474738	NA	0.2022058445658211	0.0293559316101209	1.0	True	NA	0.040888935869159	NA	46.09	13.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	1	56	44	50	0.88	NA
LeafCutter	cell_type__EX_cortical__INH_medium_spiny	EX_cortical	INH_medium_spiny	chr11:clu_4484_+	ENSMUSG00000000632	0.0030525936038727	0.0386413678148763	3.0	True	0.1277909651740318	NA	0.0439827137941412	-0.0055607990184738	-0.9893615453920688	False	-0.0059053705944196	0.0193994073722411	False	228.85	54.010000000000005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51	1	56	44	51	0.8627450980392157	NA
LeafCutter	cell_type__ASC__EX_cerebellum_granule	ASC	EX_cerebellum_granule	chr2:clu_750_+	ENSMUSG00000061689	0.0036896919188224	0.0464627871259117	2.0	True	0.2553587949299317	NA	0.0454112086129823	0.0115961515077229	1.0000000000000002	True	NA	0.0118364495708878	NA	83.08	7.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	1	56	45	52	0.8653846153846154	NA
LeafCutter	cell_type__EX_cortical__INH_medium_spiny	EX_cortical	INH_medium_spiny	chr8:clu_3499_+	ENSMUSG00000036564	0.0039074187240827	0.0464592482907426	3.0	True	0.0633447226581728	NA	0.0585333867565694	0.0022976635111063	0.6196869280962263	True	0.0027904169220351	0.0017737246622654	True	554.8799999999999	187.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53	1	56	46	53	0.8679245283018868	NA
LeafCutter	cell_type__EX_cerebellum_granule__ODC	EX_cerebellum_granule	ODC	chr1:clu_464_+	ENSMUSG00000026490	0.0050899629063876	0.0429253538438687	3.0	True	0.1546933702150011	NA	0.0443456658471506	0.00655089653417	0.9549438996278288	True	NA	0.0059521715026104	NA	672.0699999999999	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	1	56	47	54	0.8703703703703703	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr17:clu_6598_+	ENSMUSG00000003279	0.005938074065434	0.0340566012576361	5.0	True	0.2660399131562128	NA	0.304187973814583	0.0659774150470749	0.815279380741368	True	0.2694318241116719	0.0228705579810439	True	35.95	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	1	56	48	55	0.8727272727272727	NA
LeafCutter	cell_type__INH_medium_spiny__ODC	INH_medium_spiny	ODC	chr2:clu_620_+	ENSMUSG00000027012	0.0066397128962764	0.0493828646660557	3.0	True	0.1458015862803459	NA	0.5610920851226429	0.0812543240626199	0.993230598328404	True	0.0922908102161979	0.0796278378068667	True	1741.5500000000002	744.9100000000001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56	1	56	49	56	0.875	NA
