test_id	feature_id	feature_type	start	end	path_numbers	primer	low_cell_type	high_cell_type	n_common_subjects	fitted_delta	observed_delta	observed_delta_se	minimum_total_denominator
ENSMUSG00000000826.17:B1	E:181162739-181162851	exon	181162739	181162851	2	random hexamer	EX_cortical	EX_cerebellum_granule	7	0.06038434448989446	0.010741035952531055	0.042428054951496486	30.720338983050844
ENSMUSG00000001248.16:B1	E:30850439-30850507	exon	30850439	30850507	2	random hexamer	INH_migrating_interneuron	EX_cortical	4	0.07834265501579968	-0.0665018083206391	0.14830023510782475	28.957983193277315
ENSMUSG00000001419.18:B3	E:88069087-88069108	exon	88069087	88069108	2	random hexamer	EX_cortical	INH_migrating_interneuron	4	0.31344162112358487	-0.14937309742721622	0.23322364877811633	41.33197744663713
ENSMUSG00000001419.18:B3	J:88068688-88070264	junction	88068688	88070264	1	random hexamer	INH_migrating_interneuron	EX_cortical	3	0.39466626984481396	0.009259259259259233	0.009259259259259234	43.0
ENSMUSG00000001419.18:B3	J:88069108-88070264	junction	88069108	88070264	2	random hexamer	EX_cortical	INH_migrating_interneuron	3	0.39466626984481396	0.014492753623188396	0.014492753623188399	27.0
ENSMUSG00000001472.18:B1	E:124100522-124100562	exon	124100522	124100562	1	random hexamer	EX_cortical	EX_cerebellum_granule	7	0.12809077279621248	0.21969449848185965	0.1862148682184162	31.61635220125786
ENSMUSG00000001472.18:B1	E:124109265-124109340	exon	124109265	124109340	2	random hexamer	EX_cerebellum_granule	EX_cortical	7	0.12809077279621245	0.0	0.0	31.61635220125786
ENSMUSG00000001472.18:B1	J:124108300-124109265	junction	124108300	124109265	2	poly(dT)	INH_migrating_interneuron	EX_cortical	21	0.07790803947590762	0.00024023844388515724	0.004387772238206924	665.0
ENSMUSG00000001472.18:B1	J:124108300-124109265	junction	124108300	124109265	2	random hexamer	INH_medium_spiny	ASC	4	0.13434578945444042	0.0774621212121212	0.04055021105519369	25.0
ENSMUSG00000001472.18:B1	J:124108300-124110063	junction	124108300	124110063	1	poly(dT)	EX_cortical	INH_migrating_interneuron	21	0.07790803947590763	0.002657441128502496	0.004079174927349962	695.0
ENSMUSG00000001472.18:B1	J:124108300-124110063	junction	124108300	124110063	1	random hexamer	ASC	INH_medium_spiny	4	0.13434578945444042	0.05366161616161615	0.03320451014951572	41.0
ENSMUSG00000001472.18:B1	J:124109340-124110063	junction	124109340	124110063	2	random hexamer	INH_medium_spiny	EX_cortical	4	0.14063288805049873	0.055160154173312104	0.08540838323116971	27.0
ENSMUSG00000001911.17:B1	E:85499982-85500025	exon	85499982	85500025	1	random hexamer	EX_cerebellum_granule	EX_cortical	4	0.11454420456918929	0.10874654660530095	0.18846288044223258	14.511278195488721
ENSMUSG00000001911.17:B1	E:85526626-85526769	exon	85526626	85526769	2,3	random hexamer	EX_cortical	EX_cerebellum_granule	4	0.11454420456918933	0.0	0.0	14.511278195488721
ENSMUSG00000001911.17:B1	E:85526769-85526973	exon	85526769	85526973	3	random hexamer	EX_cortical	EX_cerebellum_granule	4	0.12301624006363535	0.0	0.0	14.511278195488721
ENSMUSG00000001911.17:B4	E:85442769-85442917	exon	85442769	85442917	2	poly(dT)	EX_cerebellum_granule	EX_cortical	6	0.10029042064587342	-0.005576997621428801	0.03787976028215319	103.02285079051384
ENSMUSG00000001911.17:B4	E:85442769-85442917	exon	85442769	85442917	2	random hexamer	EX_cerebellum_granule	ASC	3	0.08957056698569188	0.24607590834947088	0.14938305020173137	15.605854743083004
ENSMUSG00000001911.17:B4	J:85440486-85442769	junction	85440486	85442769	2	poly(dT)	EX_cerebellum_granule	EX_cortical	5	0.07955304702218031	0.002971362292480936	0.06042521922185428	152.0
ENSMUSG00000001911.17:B4	J:85440486-85442769	junction	85440486	85442769	2	random hexamer	EX_cortical	ASC	3	0.05607339836047979	-0.2064814814814815	0.09547818429499413	16.0
ENSMUSG00000001911.17:B4	J:85440486-85448271	junction	85440486	85448271	1	poly(dT)	EX_cortical	EX_cerebellum_granule	5	0.07955304702218029	0.009518789231237768	0.062186562686044965	156.0
ENSMUSG00000001911.17:B4	J:85440486-85448271	junction	85440486	85448271	1	random hexamer	ASC	EX_cortical	3	0.056073398360479754	-0.0983560090702948	0.17878748222705948	21.0
ENSMUSG00000001911.17:B4	J:85442917-85448271	junction	85442917	85448271	2	poly(dT)	EX_cerebellum_granule	EX_cortical	5	0.07955304702218031	-0.0026563683174314805	0.020598628680123406	142.0
ENSMUSG00000001911.17:B4	J:85442917-85448271	junction	85442917	85448271	2	random hexamer	EX_cortical	ASC	3	0.05607339836047979	-0.005749746707193508	0.10157139129922017	21.0
ENSMUSG00000001986.17:B1	E:40490004-40490134	exon	40490004	40490134	1	random hexamer	EX_cerebellum_granule	INH_midbrain	3	0.0852757219737451	0.007682908108440033	0.019031570002815256	42.2967032967033
ENSMUSG00000001986.17:B1	E:40490180-40490405	exon	40490180	40490405	2	random hexamer	INH_midbrain	EX_cerebellum_granule	3	0.08527572197374507	-0.02383922830495484	0.027900679083355952	42.2967032967033
ENSMUSG00000002107.19:B1	E:6726424-6726426	exon	6726424	6726426	1	random hexamer	INH_medium_spiny	ASC	3	0.06344898502554712	-0.032079465885035	0.032079465885035005	4.5126903553299496
ENSMUSG00000002107.19:B1	E:6967189-6967225	exon	6967189	6967225	3,4	poly(dT)	ASC	INH_medium_spiny	3	0.056695973382567044	0.2018094994897336	0.03300359081703762	14.35532994923858
ENSMUSG00000002107.19:B1	E:6967189-6967225	exon	6967189	6967225	3,4	random hexamer	ASC	INH_medium_spiny	3	0.0780666042974996	-0.25744956102098965	0.28804028647868263	4.5126903553299496
ENSMUSG00000002107.19:B1	E:7085917-7086018	exon	7085917	7086018	3	poly(dT)	ASC	INH_medium_spiny	3	0.05739302286626886	-0.10857994963538985	0.15907839012724628	14.35532994923858
ENSMUSG00000002107.19:B1	E:7085917-7086018	exon	7085917	7086018	3	random hexamer	ASC	INH_medium_spiny	3	0.07860600628277266	0.007566016384242295	0.15207061773260078	4.5126903553299496
ENSMUSG00000002107.19:B1	J:6726424-6967189	junction	6726424	6967189	3,4	random hexamer	EX_cerebellum_granule	INH_medium_spiny	3	0.0663233420964125	-0.041154333407854536	0.0429269328138918	24.0
ENSMUSG00000002107.19:B1	J:7190321-7400668	junction	7190321	7400668	4	random hexamer	INH_migrating_interneuron	EX_cortical	4	0.05649614020238582	0.016426358092644172	0.08614406494464344	39.0
ENSMUSG00000002265.18:B1	E:6721555-6721847	exon	6721555	6721847	2	poly(dT)	INH_midbrain	INH_medium_spiny	9	0.09714446139733253	0.10392673361969947	0.13816735737412328	19.104625056129322
ENSMUSG00000002265.18:B1	E:6721555-6721847	exon	6721555	6721847	2	random hexamer	EX_cerebellum_granule	INH_migrating_interneuron	13	0.05446521738226814	0.10605601475275818	0.037059309378590886	184.48657386618768
ENSMUSG00000002265.18:B1	J:6721555-6729488	junction	6721555	6729488	1	poly(dT)	INH_migrating_interneuron	INH_midbrain	3	0.09555838955528972	0.2094017094017094	0.13493720857988842	24.0
ENSMUSG00000002265.18:B1	J:6721555-6729488	junction	6721555	6729488	1	random hexamer	INH_migrating_interneuron	EX_cerebellum_granule	5	0.09813469739470307	0.08862708554178074	0.035862191537901544	179.0
ENSMUSG00000002265.18:B1	J:6721847-6729488	junction	6721847	6729488	2	poly(dT)	INH_midbrain	INH_migrating_interneuron	3	0.09555838955528971	0.0	0.0	18.0
ENSMUSG00000002265.18:B1	J:6721847-6729488	junction	6721847	6729488	2	random hexamer	EX_cerebellum_granule	INH_migrating_interneuron	5	0.09813469739470311	0.0	0.0	173.0
ENSMUSG00000002985.17:B1	E:19432192-19432197	exon	19432192	19432197	2,3	poly(dT)	EX_cortical	ASC	5	0.06778598728944543	0.019008	0.019007999999999997	20.96969696969697
ENSMUSG00000002985.17:B1	E:19432935-19432977	exon	19432935	19432977	3	poly(dT)	EX_cortical	ASC	5	0.07540061483162927	0.09881226136253615	0.1048357690530493	20.96969696969697
ENSMUSG00000002985.17:B1	E:19432935-19432977	exon	19432935	19432977	3	random hexamer	EX_cortical	ASC	9	0.06449819044014873	0.058537659974943056	0.06116520413018764	147.2121212121212
ENSMUSG00000002985.17:B1	J:19432197-19432935	junction	19432197	19432935	3	random hexamer	EX_cortical	ASC	7	0.07383371740011395	0.0	0.0	96.0
ENSMUSG00000002985.17:B2	E:19430196-19431028	exon	19430196	19431028	1	poly(dT)	EX_cortical	EX_cerebellum_granule	4	0.05425642070353673	0.0	0.0	14.568047337278108
ENSMUSG00000002985.17:B2	E:19431180-19431403	exon	19431180	19431403	2	poly(dT)	EX_cerebellum_granule	EX_cortical	4	0.05425642070353673	-0.0071454196028187	0.0071454196028187	14.568047337278108
ENSMUSG00000002985.17:B2	J:19431028-19431403	junction	19431028	19431403	1	random hexamer	EX_cortical	ASC	4	0.05664837511023657	0.0	0.0	60.0
ENSMUSG00000003279.18:B1	E:70276240-70276665	exon	70276240	70276665	1	poly(dT)	EX_cortical	INH_migrating_interneuron	9	0.20633066073265097	-0.08409307040134611	0.15307977244749404	19.29767441860465
ENSMUSG00000003279.18:B1	E:70276240-70276665	exon	70276240	70276665	1	random hexamer	EX_cerebellum_granule	INH_medium_spiny	3	0.31133506870566474	0.5874520686183474	0.12353501386516653	11.986046511627906
ENSMUSG00000003279.18:B1	E:70385256-70385418	exon	70385256	70385418	1	poly(dT)	EX_cortical	INH_migrating_interneuron	9	0.20633066073265097	0.1693652683969472	0.0585499522333477	19.29767441860465
ENSMUSG00000003279.18:B1	E:70385256-70385418	exon	70385256	70385418	1	random hexamer	EX_cerebellum_granule	INH_medium_spiny	3	0.31133506870566474	0.5885164435677086	0.09499324115777284	11.986046511627906
ENSMUSG00000003279.18:B1	E:70513231-70513340	exon	70513231	70513340	1	poly(dT)	EX_cortical	INH_migrating_interneuron	9	0.20633066073265097	0.39508749599195014	0.1225362462313087	19.29767441860465
ENSMUSG00000003279.18:B1	E:70513231-70513340	exon	70513231	70513340	1	random hexamer	EX_cerebellum_granule	INH_medium_spiny	3	0.31133506870566474	-0.0172279967804396	0.017227996780439597	11.986046511627906
ENSMUSG00000003279.18:B1	E:70615041-70615165	exon	70615041	70615165	1	poly(dT)	EX_cortical	INH_migrating_interneuron	9	0.20633066073265097	0.17159222458475124	0.14045846548061444	19.29767441860465
ENSMUSG00000003279.18:B1	E:70615041-70615165	exon	70615041	70615165	1	random hexamer	EX_cerebellum_granule	INH_medium_spiny	3	0.31133506870566474	0.10110838670897614	0.11965059555051874	11.986046511627906
ENSMUSG00000003279.18:B1	E:70731790-70731883	exon	70731790	70731883	1	poly(dT)	EX_cortical	INH_migrating_interneuron	9	0.20633066073265097	0.2631917126358473	0.1424718653768905	19.29767441860465
ENSMUSG00000003279.18:B1	E:70731790-70731883	exon	70731790	70731883	1	random hexamer	EX_cerebellum_granule	INH_medium_spiny	3	0.31133506870566474	0.4190023138312963	0.12209189698478573	11.986046511627906
ENSMUSG00000003279.18:B1	E:70822948-70823991	exon	70822948	70823991	1	poly(dT)	EX_cortical	INH_migrating_interneuron	9	0.20633066073265097	-0.048633640429164245	0.03381827802174129	19.29767441860465
ENSMUSG00000003279.18:B1	E:70822948-70823991	exon	70822948	70823991	1	random hexamer	EX_cerebellum_granule	INH_medium_spiny	3	0.31133506870566474	0.048902167512549076	0.14930328486081157	11.986046511627906
ENSMUSG00000003279.18:B1	E:70829049-70829263	exon	70829049	70829263	2	poly(dT)	INH_migrating_interneuron	EX_cerebellum_granule	3	0.18213187803750755	-0.1594708063030165	0.19279378002187791	3.8279069767441856
ENSMUSG00000003279.18:B1	E:70829049-70829263	exon	70829049	70829263	2	random hexamer	INH_medium_spiny	EX_cerebellum_granule	3	0.3544208331563426	0.23854631073909927	0.20290345580529676	11.986046511627906
ENSMUSG00000003279.18:B1	E:70868546-70868866	exon	70868546	70868866	3	poly(dT)	INH_migrating_interneuron	EX_cortical	9	0.09096374802255322	0.009850347109450017	0.06625304933978658	19.29767441860465
ENSMUSG00000003279.18:B1	E:70868546-70868866	exon	70868546	70868866	3	random hexamer	EX_hippocampus_pyramidal	EX_cortical	4	0.1657034831324868	0.01672743918958805	0.018071191910937538	13.762790697674419
ENSMUSG00000003279.18:B1	J:70276665-70385256	junction	70276665	70385256	1	poly(dT)	EX_cortical	INH_migrating_interneuron	3	0.15327445575711	0.041666666666666664	0.04166666666666667	17.0
ENSMUSG00000003279.18:B1	J:70276665-70385256	junction	70276665	70385256	1	random hexamer	EX_cerebellum_granule	INH_midbrain	3	0.28710102878742444	-0.055555555555555546	0.055555555555555546	16.0
ENSMUSG00000003279.18:B1	J:70385418-70513231	junction	70385418	70513231	1	poly(dT)	EX_cortical	INH_migrating_interneuron	7	0.18444149412945215	0.2619047619047619	0.13569961531083294	58.0
ENSMUSG00000003279.18:B1	J:70513340-70615041	junction	70513340	70615041	1	poly(dT)	EX_cortical	INH_migrating_interneuron	3	0.14053115105917843	0.35767195767195764	0.057998686163152256	27.0
ENSMUSG00000003279.18:B1	J:70731883-70822948	junction	70731883	70822948	1	random hexamer	EX_cortical	INH_midbrain	4	0.32312611018890075	0.013738967440792949	0.09201858474828309	71.0
ENSMUSG00000003279.18:B1	J:70823991-70900161	junction	70823991	70900161	1	random hexamer	EX_cortical	INH_migrating_interneuron	5	0.22817968322762794	0.11383099615368812	0.07111021464102532	66.0
ENSMUSG00000003279.18:B1	J:70829263-70900161	junction	70829263	70900161	2	random hexamer	INH_migrating_interneuron	EX_cortical	5	0.1117927191356289	-0.045879657543240436	0.0952509189497885	61.0
ENSMUSG00000003279.18:B1	J:70868866-70900161	junction	70868866	70900161	3	random hexamer	INH_migrating_interneuron	EX_cortical	5	0.11638696409199903	0.04412206292913046	0.04817262120702464	61.0
ENSMUSG00000003847.17:B1	E:108020140-108020190	exon	108020140	108020190	1	poly(dT)	INH_midbrain	EX_cortical	5	0.08705145523360538	0.0	0.0	12.613595706618963
ENSMUSG00000003847.17:B1	E:108020140-108020190	exon	108020140	108020190	1	random hexamer	ASC	EX_cortical	3	0.13020950383258348	0.09850871665616467	0.09850871665616467	5.438282647584973
ENSMUSG00000003847.17:B1	E:108020190-108020530	exon	108020190	108020530	1,2	poly(dT)	INH_midbrain	EX_cortical	5	0.148232719173876	0.018056329253597857	0.09109342152302707	12.613595706618963
ENSMUSG00000003847.17:B1	E:108020190-108020530	exon	108020190	108020530	1,2	random hexamer	EX_cortical	INH_medium_spiny	3	0.17249125415375519	0.0	0.0	4.311270125223613
ENSMUSG00000003847.17:B1	E:108022212-108022266	exon	108022212	108022266	1	poly(dT)	INH_midbrain	EX_cortical	5	0.08705145523360538	0.04017720279097576	0.04017720279097575	12.613595706618963
ENSMUSG00000003847.17:B1	E:108022212-108022266	exon	108022212	108022266	1	random hexamer	ASC	EX_cortical	3	0.13020950383258348	0.5705047579729573	0.28563475867101656	5.438282647584973
ENSMUSG00000003847.17:B1	E:108051270-108051396	exon	108051270	108051396	1,2	poly(dT)	INH_midbrain	EX_cortical	5	0.148232719173876	-0.07052045604119635	0.15682653776185532	12.613595706618963
ENSMUSG00000003847.17:B1	E:108051270-108051396	exon	108051270	108051396	1,2	random hexamer	EX_cortical	INH_medium_spiny	3	0.17249125415375519	-0.15149489975449223	0.2911248425324131	4.311270125223613
ENSMUSG00000003847.17:B1	E:108065438-108065440	exon	108065438	108065440	3	poly(dT)	EX_cortical	INH_midbrain	5	0.148232719173876	-0.027004830917874378	0.027004830917874374	12.613595706618963
ENSMUSG00000003847.17:B1	E:108065438-108065440	exon	108065438	108065440	3	random hexamer	INH_medium_spiny	EX_cortical	3	0.1724912541537551	-0.42716317480248084	0.15408681555554707	4.311270125223613
ENSMUSG00000003847.17:B2	E:108095450-108096183	exon	108095450	108096183	1,2,3	poly(dT)	INH_medium_spiny	INH_migrating_interneuron	3	0.09698154381946937	-0.21645036419973826	0.2537828586914901	4.4994350282485875
ENSMUSG00000003847.17:B2	E:108095450-108096183	exon	108095450	108096183	1,2,3	random hexamer	INH_midbrain	INH_migrating_interneuron	6	0.07620736148016971	0.06858136988607057	0.0720160080015263	18.088700564971752
ENSMUSG00000003847.17:B2	E:108097049-108097291	exon	108097049	108097291	1,2,3	poly(dT)	INH_medium_spiny	INH_migrating_interneuron	3	0.09698154381946937	0.06779661879882647	0.13808754053752129	4.4994350282485875
ENSMUSG00000003847.17:B2	E:108097049-108097291	exon	108097049	108097291	1,2,3	random hexamer	INH_midbrain	INH_migrating_interneuron	6	0.07620736148016971	0.21312006277221276	0.13697481536913086	18.088700564971752
ENSMUSG00000003847.17:B2	E:108097789-108098810	exon	108097789	108098810	2,3	poly(dT)	INH_medium_spiny	INH_migrating_interneuron	3	0.09741720695882723	0.05433276781203478	0.05743114365556831	4.4994350282485875
ENSMUSG00000003847.17:B2	E:108097789-108098810	exon	108097789	108098810	2,3	random hexamer	INH_medium_spiny	INH_migrating_interneuron	5	0.1084275120422326	-0.012006050562809855	0.06081986979065745	13.998305084745763
ENSMUSG00000003847.17:B2	E:108098810-108105424	exon	108098810	108105424	3	poly(dT)	INH_medium_spiny	INH_migrating_interneuron	3	0.10028766026365232	0.049160322302951254	0.12063421706072587	4.4994350282485875
ENSMUSG00000003847.17:B2	E:108098810-108105424	exon	108098810	108105424	3	random hexamer	INH_medium_spiny	EX_cortical	8	0.09933566814829237	0.0302433072328234	0.021086636390333646	19.605649717514126
ENSMUSG00000003847.17:B2	E:108105424-108106140	exon	108105424	108106140	3,4	poly(dT)	ASC	EX_cortical	3	0.06380262101384133	0.24740380894438094	0.17753532448617348	5.556497175141242
ENSMUSG00000003847.17:B2	E:108105424-108106140	exon	108105424	108106140	3,4	random hexamer	INH_migrating_interneuron	EX_cortical	11	0.07592048071705884	0.05011667572191226	0.023158767020329957	32.496610169491525
ENSMUSG00000003847.17:B2	E:108106140-108106148	exon	108106140	108106148	3	poly(dT)	INH_medium_spiny	INH_migrating_interneuron	3	0.10028766026365232	0.057662236121970266	0.057662236121970266	4.4994350282485875
ENSMUSG00000003847.17:B2	E:108106140-108106148	exon	108106140	108106148	3	random hexamer	INH_medium_spiny	EX_cortical	8	0.09933566814829237	0.026468477090561063	0.02646847709056106	19.605649717514126
ENSMUSG00000004110.18:B1	E:154601666-154602102	exon	154601666	154602102	2	random hexamer	EX_cerebellum_granule	INH_migrating_interneuron	4	0.11280778794708865	0.06479618704211626	0.31186594468773526	12.592857142857145
ENSMUSG00000004113.19:B2	E:24651892-24651893	exon	24651892	24651893	1	random hexamer	INH_migrating_interneuron	EX_cortical	7	0.06082735802155818	0.3364015743877218	0.15159610033253496	17.090140845070422
ENSMUSG00000004113.19:B2	E:24652774-24652775	exon	24652774	24652775	2	random hexamer	EX_cortical	INH_migrating_interneuron	7	0.060827358021558135	-0.03189409031732545	0.09832191960298914	17.090140845070422
ENSMUSG00000004113.19:B8	E:24493898-24496386	exon	24493898	24496386	2	random hexamer	INH_medium_spiny	INH_migrating_interneuron	5	0.05266194345177252	0.03845262641868634	0.10803268551672712	19.94915254237288
ENSMUSG00000004113.19:B8	E:24496386-24496581	exon	24496386	24496581	2,3	random hexamer	INH_medium_spiny	INH_migrating_interneuron	5	0.06619690217548141	0.1428479054787014	0.08783088023040464	19.94915254237288
ENSMUSG00000004207.15:B1	E:60113448-60113449	exon	60113448	60113449	1	poly(dT)	EX_cerebellum_granule	EX_cortical	5	0.05316313209067147	-0.1433155080213904	0.1433155080213904	12.574626865671643
ENSMUSG00000004207.15:B1	E:60113448-60113449	exon	60113448	60113449	1	random hexamer	ASC	INH_migrating_interneuron	7	0.06264824819184403	0.0	0.0	40.55223880597015
ENSMUSG00000004207.15:B2	E:60131782-60131786	exon	60131782	60131786	2	random hexamer	INH_medium_spiny	ASC	3	0.05266976017875192	0.010594264354974839	0.06727229802687638	31.541068580542262
ENSMUSG00000004207.15:B2	E:60134820-60134825	exon	60134820	60134825	2	random hexamer	INH_medium_spiny	ASC	3	0.05266976017875192	0.39971149411297385	0.4427463675902589	31.541068580542262
ENSMUSG00000004207.15:B2	J:60131782-60134870	junction	60131782	60134870	3	random hexamer	INH_migrating_interneuron	ASC	3	0.053153058278042765	0.0	0.0	23.0
ENSMUSG00000004207.15:B2	J:60131782-60134876	junction	60131782	60134876	1	random hexamer	ASC	INH_migrating_interneuron	6	0.08441907895894661	0.014696769396017516	0.050694698802517695	78.0
ENSMUSG00000004267.17:B1	E:124746584-124746636	exon	124746584	124746636	2	random hexamer	EX_cerebellum_granule	INH_medium_spiny	3	0.11575902433611825	-0.17254243923962634	0.12927475614764114	26.892857142857142
ENSMUSG00000004933.18:B1	E:81088768-81089112	exon	81088768	81089112	1	random hexamer	EX_cortical	INH_medium_spiny	5	0.20398898584511044	-0.059494159987335794	0.02582655078304407	94.15
ENSMUSG00000004933.18:B1	E:81093132-81093138	exon	81093132	81093138	2,3	random hexamer	INH_medium_spiny	EX_cortical	5	0.10310511226948553	0.05135780867077435	0.02811501148981305	94.15
ENSMUSG00000004933.18:B1	E:81093751-81093804	exon	81093751	81093804	5	random hexamer	INH_medium_spiny	EX_cortical	5	0.15490327677941454	0.053017129951852995	0.04724969505842324	94.15
ENSMUSG00000004933.18:B1	E:81094002-81094138	exon	81094002	81094138	3	random hexamer	INH_medium_spiny	EX_cortical	5	0.08263196298354288	0.02826388022163056	0.024320912620093	94.15
ENSMUSG00000004933.18:B1	J:81089112-81094313	junction	81089112	81094313	1	random hexamer	EX_cortical	INH_medium_spiny	4	0.22740508522688263	-0.04563768582046882	0.015287690253894261	86.0
ENSMUSG00000004933.18:B1	J:81093408-81094002	junction	81093408	81094002	3	random hexamer	INH_medium_spiny	EX_cortical	4	0.13533966902207734	0.0	0.0	75.0
ENSMUSG00000004933.18:B1	J:81093804-81094313	junction	81093804	81094313	5	random hexamer	INH_medium_spiny	EX_cortical	4	0.1109249862478391	0.05392194399200501	0.06602796823669498	86.0
ENSMUSG00000004933.18:B1	J:81094138-81094313	junction	81094138	81094313	3	random hexamer	INH_medium_spiny	EX_cortical	4	0.13533966902207734	0.02720357010728815	0.005873519283280677	86.0
ENSMUSG00000004933.18:B3	E:81098809-81098815	exon	81098809	81098815	2,3,4	poly(dT)	EX_cortical	INH_medium_spiny	5	0.13311098282827652	0.01096862964798111	0.04418184882971515	70.33994334277621
ENSMUSG00000004933.18:B3	E:81098809-81098815	exon	81098809	81098815	2,3,4	random hexamer	EX_cortical	INH_medium_spiny	4	0.09008206912417663	-0.07867756315007428	0.07867756315007428	10.72804532577904
ENSMUSG00000004933.18:B3	E:81098815-81098819	exon	81098815	81098819	3,4	poly(dT)	EX_cortical	INH_medium_spiny	5	0.19951799427804381	0.03971532723515651	0.06510569828846942	70.33994334277621
ENSMUSG00000004933.18:B3	E:81098815-81098819	exon	81098815	81098819	3,4	random hexamer	EX_cortical	INH_medium_spiny	4	0.15927614099814852	-0.07867756315007428	0.07867756315007428	10.72804532577904
ENSMUSG00000005045.17:B1	E:152423107-152423343	exon	152423107	152423343	2	poly(dT)	ASC	EX_cortical	9	0.10507259978699679	-0.02631986711812516	0.036471135146795515	25.083333333333336
ENSMUSG00000005045.17:B1	E:152423107-152423343	exon	152423107	152423343	2	random hexamer	ASC	EX_cortical	4	0.13644071027191498	0.10912830417691616	0.24906021044293083	7.388888888888889
ENSMUSG00000005417.18:B1	E:59553320-59553332	exon	59553320	59553332	2	random hexamer	EX_cerebellum_granule	INH_migrating_interneuron	5	0.12082654013456243	0.0	0.0	15.744343891402714
ENSMUSG00000005417.18:B2	E:59626655-59626769	exon	59626655	59626769	2	random hexamer	INH_migrating_interneuron	EX_cortical	7	0.1291177196330345	-0.006640071682791214	0.09837738896374847	14.250947982498785
ENSMUSG00000005417.18:B3	E:59632816-59632924	exon	59632816	59632924	2	random hexamer	EX_cerebellum_granule	INH_migrating_interneuron	3	0.10687823382445825	-0.3022192123703316	0.20257908538413702	15.729243884358784
ENSMUSG00000005506.17:B1	E:90770887-90770986	exon	90770887	90770986	1,2,3	random hexamer	INH_migrating_interneuron	EX_cortical	3	0.2888783808991325	0.0	0.0	6.132978723404256
