test_id	feature_id	feature_type	primer	n_cell_types	fitted_range	rank_correlation
ENSMUSG00000011751.17:B1	E:27133630-27133782	exon	random hexamer	4	0.07217566239780543	0.6000000000000001
ENSMUSG00000011751.17:B1	E:27141819-27142006	exon	random hexamer	4	0.07217566239780543	0.7999999999999999
ENSMUSG00000011751.17:B1	E:27145887-27146024	exon	random hexamer	4	0.07217566239780543	0.39999999999999997
ENSMUSG00000011751.17:B1	J:27093729-27097375	junction	random hexamer	4	0.07217566239780543	1.0
ENSMUSG00000011751.17:B1	J:27097466-27102160	junction	random hexamer	4	0.07217566239780543	1.0
ENSMUSG00000011751.17:B1	J:27102363-27103592	junction	random hexamer	4	0.07217566239780543	-1.0
ENSMUSG00000011751.17:B1	J:27104343-27106535	junction	random hexamer	4	0.07217566239780543	-0.7999999999999999
ENSMUSG00000011751.17:B1	J:27106673-27107667	junction	random hexamer	4	0.07217566239780543	-0.7999999999999999
ENSMUSG00000011751.17:B1	J:27108601-27114082	junction	random hexamer	4	0.07217566239780543	-0.39999999999999997
ENSMUSG00000011751.17:B1	J:27114233-27116129	junction	random hexamer	4	0.07217566239780543	-0.19999999999999998
ENSMUSG00000011751.17:B1	J:27116432-27117382	junction	random hexamer	4	0.07217566239780543	-0.7999999999999999
ENSMUSG00000011751.17:B1	J:27117541-27117795	junction	random hexamer	4	0.07217566239780543	-1.0
ENSMUSG00000011751.17:B1	J:27117913-27117989	junction	random hexamer	4	0.07217566239780543	0.39999999999999997
ENSMUSG00000011751.17:B1	J:27118177-27118412	junction	random hexamer	4	0.07217566239780543	-0.7999999999999999
ENSMUSG00000011751.17:B1	J:27118525-27123133	junction	random hexamer	4	0.07217566239780543	0.19999999999999998
ENSMUSG00000011751.17:B1	J:27123249-27126250	junction	random hexamer	4	0.07217566239780543	0.19999999999999998
ENSMUSG00000011751.17:B1	J:27126331-27127608	junction	random hexamer	4	0.07217566239780543	0.39999999999999997
ENSMUSG00000011751.17:B1	J:27127700-27132472	junction	random hexamer	4	0.07217566239780543	1.0
ENSMUSG00000011751.17:B1	J:27132646-27133630	junction	random hexamer	4	0.07217566239780543	0.39999999999999997
ENSMUSG00000011751.17:B1	J:27133782-27141819	junction	random hexamer	4	0.07217566239780543	0.6000000000000001
ENSMUSG00000011751.17:B1	J:27142006-27145887	junction	random hexamer	4	0.07217566239780543	0.7999999999999999
ENSMUSG00000013033.17:B1	E:84627343-84627363	exon	random hexamer	6	0.05353753280529212	0.028571428571428574
ENSMUSG00000013033.17:B1	E:84652890-84652905	exon	random hexamer	6	0.07614141202762931	0.08571428571428573
ENSMUSG00000013033.17:B1	J:84649737-84652890	junction	random hexamer	6	0.05353753280529212	0.7714285714285715
ENSMUSG00000013033.17:B1	J:84649737-84656092	junction	random hexamer	6	0.07614141202762936	-0.6571428571428573
ENSMUSG00000013033.17:B1	J:84652905-84656092	junction	random hexamer	6	0.07614141202762931	0.2571428571428572
ENSMUSG00000013033.17:B2	E:84663954-84664089	exon	random hexamer	6	0.07496452995068803	-0.6
ENSMUSG00000013033.17:B2	J:84663954-84664089	junction	random hexamer	6	0.07496452995068817	-0.08571428571428573
ENSMUSG00000013236.18:B1	E:56769103-56769216	exon	random hexamer	7	0.21685650409054247	-0.07142857142857144
ENSMUSG00000013236.18:B1	E:56783339-56783483	exon	random hexamer	7	0.21685650409054247	0.39285714285714296
ENSMUSG00000013236.18:B1	J:56765377-56769103	junction	random hexamer	7	0.21685650409054247	0.14285714285714288
ENSMUSG00000013236.18:B1	J:56765377-56783339	junction	random hexamer	7	0.21685650409054247	0.10714285714285716
ENSMUSG00000014602.16:B1	E:93010143-93010202	exon	random hexamer	10	0.0976191821946174	-0.4424242424242424
ENSMUSG00000014602.16:B1	E:93029484-93029553	exon	random hexamer	10	0.0976191821946174	-0.17575757575757575
ENSMUSG00000014602.16:B1	E:93029553-93029569	exon	random hexamer	10	0.11459267567377192	-0.49090909090909085
ENSMUSG00000014602.16:B1	J:93010202-93029484	junction	random hexamer	10	0.0976191821946174	-0.18787878787878787
ENSMUSG00000015501.11:B1	E:13841818-13841964	exon	random hexamer	5	0.08229903953633455	0.7
ENSMUSG00000015501.11:B1	E:13842122-13842441	exon	random hexamer	5	0.08229903953633455	-0.6
ENSMUSG00000015501.11:B1	E:13879944-13880019	exon	random hexamer	5	0.08229903953633455	0.7
ENSMUSG00000015501.11:B1	J:13841964-13879944	junction	random hexamer	5	0.08229903953633455	-0.6
ENSMUSG00000015501.11:B1	J:13842441-13942326	junction	random hexamer	5	0.08229903953633455	0.09999999999999999
ENSMUSG00000015501.11:B1	J:13880019-13942326	junction	random hexamer	5	0.08229903953633455	0.3
ENSMUSG00000015968.19:B1	E:30074881-30074948	exon	poly(dT)	3	0.11024997540822584	-0.5
ENSMUSG00000015968.19:B1	E:30074881-30074948	exon	random hexamer	3	0.11024997540822584	0.5
ENSMUSG00000015968.19:B1	E:30074948-30075441	exon	poly(dT)	3	0.10518298437598345	-0.5
ENSMUSG00000015968.19:B1	E:30074948-30075441	exon	random hexamer	3	0.10518298437598345	0.5
ENSMUSG00000015968.19:B1	E:30212925-30213410	exon	poly(dT)	3	0.1102499754082259	0.5
ENSMUSG00000015968.19:B1	E:30212925-30213410	exon	random hexamer	3	0.1102499754082259	1.0
ENSMUSG00000015968.19:B1	J:30072906-30074881	junction	poly(dT)	3	0.11024997540822584	0.5
ENSMUSG00000015968.19:B1	J:30072906-30074881	junction	random hexamer	3	0.11024997540822584	0.5
ENSMUSG00000017631.20:B1	E:76359080-76359291	exon	random hexamer	6	0.11186100275035815	-0.08571428571428573
ENSMUSG00000017631.20:B1	E:76359541-76359602	exon	random hexamer	6	0.11186100275035804	-0.2571428571428572
ENSMUSG00000017631.20:B1	E:76363314-76363422	exon	random hexamer	6	0.11186100275035804	-0.14285714285714288
ENSMUSG00000017631.20:B1	E:76369820-76370006	exon	random hexamer	6	0.11186100275035804	0.5428571428571429
ENSMUSG00000017631.20:B1	E:76377263-76377362	exon	random hexamer	6	0.11186100275035804	0.7714285714285715
ENSMUSG00000017631.20:B1	E:76399713-76399821	exon	random hexamer	6	0.11186100275035804	0.5428571428571429
ENSMUSG00000017631.20:B1	E:76399821-76399898	exon	random hexamer	6	0.27749272422270466	0.3714285714285715
ENSMUSG00000017631.20:B1	E:76399898-76400245	exon	random hexamer	6	0.09269238675153788	0.7142857142857143
ENSMUSG00000017631.20:B1	E:76461856-76462361	exon	random hexamer	6	0.21514172388636177	0.5428571428571429
ENSMUSG00000017631.20:B1	J:76355116-76359080	junction	random hexamer	6	0.11186100275035815	-0.4394802124588286
ENSMUSG00000017631.20:B1	J:76355116-76359541	junction	random hexamer	6	0.11186100275035804	-0.14285714285714288
ENSMUSG00000017631.20:B1	J:76359602-76363314	junction	random hexamer	6	0.11186100275035804	-0.7714285714285715
ENSMUSG00000017631.20:B1	J:76363422-76369820	junction	random hexamer	6	0.11186100275035804	0.3714285714285715
ENSMUSG00000017631.20:B1	J:76370006-76377263	junction	random hexamer	6	0.11186100275035804	0.942857142857143
ENSMUSG00000017631.20:B1	J:76377362-76399713	junction	random hexamer	6	0.11186100275035804	0.942857142857143
ENSMUSG00000017631.20:B1	J:76399898-76461856	junction	random hexamer	6	0.21514172388636177	-0.08571428571428573
ENSMUSG00000017631.20:B2	E:76307559-76307560	exon	random hexamer	5	0.12340281404326411	0.8999999999999998
ENSMUSG00000017631.20:B2	E:76307560-76307576	exon	random hexamer	5	0.09978336553707634	-0.09999999999999999
ENSMUSG00000017670.17:B1	E:165158561-165158823	exon	random hexamer	6	0.09308894319600974	-0.942857142857143
ENSMUSG00000017670.17:B1	E:165168337-165168399	exon	random hexamer	6	0.0930889431960098	-0.08571428571428573
ENSMUSG00000017670.17:B1	J:165158271-165168337	junction	random hexamer	6	0.0930889431960098	-0.4285714285714286
ENSMUSG00000017740.18:B1	E:164802765-164802923	exon	poly(dT)	5	0.13226420666488947	0.09999999999999999
ENSMUSG00000017740.18:B1	E:164802765-164802923	exon	random hexamer	5	0.13226420666488947	0.19999999999999998
ENSMUSG00000017740.18:B1	E:164809902-164810374	exon	poly(dT)	5	0.13226420666488958	0.7999999999999999
ENSMUSG00000017740.18:B1	E:164809902-164810374	exon	random hexamer	5	0.13226420666488958	-0.7
ENSMUSG00000017740.18:B1	J:164802923-164815606	junction	poly(dT)	5	0.13226420666488947	0.3
ENSMUSG00000017740.18:B1	J:164802923-164815606	junction	random hexamer	5	0.13226420666488947	0.0
ENSMUSG00000017740.18:B1	J:164810374-164815606	junction	poly(dT)	5	0.13226420666488958	0.09999999999999999
ENSMUSG00000017740.18:B1	J:164810374-164815606	junction	random hexamer	5	0.13226420666488958	-0.7
ENSMUSG00000018750.15:B1	E:69656747-69656911	exon	random hexamer	3	0.11691432933490353	-0.5
ENSMUSG00000018750.15:B1	E:69666201-69666231	exon	random hexamer	3	0.11691432933490353	1.0
ENSMUSG00000018750.15:B1	J:69656911-69666201	junction	random hexamer	3	0.11691432933490353	0.5
ENSMUSG00000019302.17:B1	E:100900277-100900390	exon	poly(dT)	5	0.06651734131160977	0.0
ENSMUSG00000019302.17:B1	E:100900277-100900390	exon	random hexamer	6	0.06651734131160977	-0.08571428571428573
ENSMUSG00000019302.17:B1	E:100902582-100902646	exon	poly(dT)	5	0.06651734131160977	0.09999999999999999
ENSMUSG00000019302.17:B1	E:100902582-100902646	exon	random hexamer	6	0.06651734131160977	0.2
ENSMUSG00000019302.17:B1	J:100900390-100902582	junction	poly(dT)	5	0.06651734131160977	-0.19999999999999998
ENSMUSG00000019302.17:B1	J:100900390-100902582	junction	random hexamer	6	0.06651734131160977	-0.08571428571428573
ENSMUSG00000019302.17:B2	E:100917485-100917506	exon	poly(dT)	3	0.13026639818290983	0.5
ENSMUSG00000019302.17:B2	E:100917485-100917506	exon	random hexamer	5	0.13026639818290983	0.7999999999999999
ENSMUSG00000019302.17:B2	J:100912008-100917485	junction	random hexamer	5	0.13026639818290983	-0.6708203932499368
ENSMUSG00000019302.17:B2	J:100912008-100917506	junction	poly(dT)	3	0.13026639818290986	1.0
ENSMUSG00000019302.17:B2	J:100912008-100917506	junction	random hexamer	5	0.13026639818290986	0.3
ENSMUSG00000020181.19:B1	E:109667753-109669082	exon	random hexamer	3	0.16310263891802573	-0.5
ENSMUSG00000020181.19:B1	E:109677563-109677679	exon	random hexamer	3	0.16310263891802568	0.5
ENSMUSG00000020181.19:B1	E:109688365-109689395	exon	random hexamer	3	0.16310263891802568	1.0
ENSMUSG00000020181.19:B1	E:109699612-109699752	exon	random hexamer	3	0.16310263891802568	1.0
ENSMUSG00000020181.19:B1	E:109702791-109702860	exon	random hexamer	3	0.16310263891802568	0.5
ENSMUSG00000020181.19:B1	E:109716395-109716579	exon	random hexamer	3	0.16310263891802568	1.0
ENSMUSG00000020181.19:B1	E:109719474-109719547	exon	random hexamer	3	0.16310263891802568	1.0
ENSMUSG00000020181.19:B1	E:109738922-109738975	exon	random hexamer	3	0.16310263891802568	1.0
ENSMUSG00000020181.19:B1	E:109739606-109739724	exon	random hexamer	3	0.16310263891802568	1.0
ENSMUSG00000020181.19:B1	E:109835837-109836080	exon	random hexamer	3	0.16310263891802568	0.5
ENSMUSG00000020181.19:B1	J:109660542-109667753	junction	random hexamer	3	0.16310263891802573	0.5
ENSMUSG00000020181.19:B1	J:109660542-109677563	junction	random hexamer	3	0.16310263891802568	0.5
ENSMUSG00000020181.19:B1	J:109677679-109688365	junction	random hexamer	3	0.16310263891802568	0.5
ENSMUSG00000020181.19:B1	J:109689395-109699612	junction	random hexamer	3	0.16310263891802568	0.5
ENSMUSG00000020181.19:B1	J:109699752-109702791	junction	random hexamer	3	0.16310263891802568	0.5
ENSMUSG00000020181.19:B1	J:109702860-109716395	junction	random hexamer	3	0.16310263891802568	0.8660254037844387
ENSMUSG00000020181.19:B1	J:109716579-109719474	junction	random hexamer	3	0.16310263891802568	1.0
ENSMUSG00000020181.19:B1	J:109719547-109738922	junction	random hexamer	3	0.16310263891802568	1.0
ENSMUSG00000020181.19:B1	J:109738975-109739606	junction	random hexamer	3	0.16310263891802568	1.0
ENSMUSG00000020220.17:B1	E:144921488-144921575	exon	random hexamer	3	0.06998605390888796	0.5
ENSMUSG00000020220.17:B1	J:144917236-144921488	junction	random hexamer	3	0.06998605390888796	0.5
ENSMUSG00000020297.11:B1	E:31950462-31950501	exon	random hexamer	5	0.13280424788342238	-0.09999999999999999
ENSMUSG00000020315.19:B1	E:30147723-30148257	exon	poly(dT)	6	0.08667635432446787	0.6
ENSMUSG00000020315.19:B1	E:30147723-30148257	exon	random hexamer	6	0.08667635432446787	0.7714285714285715
ENSMUSG00000020315.19:B1	E:30169578-30169772	exon	poly(dT)	6	0.08667635432446785	-0.3142857142857143
ENSMUSG00000020315.19:B1	E:30169578-30169772	exon	random hexamer	6	0.08667635432446785	0.08571428571428573
ENSMUSG00000020315.19:B1	J:30109445-30147723	junction	random hexamer	6	0.08667635432446787	-0.13093073414159545
ENSMUSG00000020315.19:B1	J:30109445-30169578	junction	poly(dT)	6	0.08667635432446785	-0.08571428571428573
ENSMUSG00000020315.19:B1	J:30109445-30169578	junction	random hexamer	6	0.08667635432446785	0.14285714285714288
ENSMUSG00000020390.13:B1	E:51891188-51891311	exon	poly(dT)	4	0.0802997972453166	-0.19999999999999998
ENSMUSG00000020390.13:B1	E:51891188-51891311	exon	random hexamer	5	0.15974576163985593	0.8999999999999998
ENSMUSG00000020390.13:B1	E:51891503-51891589	exon	poly(dT)	4	0.08029979724531666	0.19999999999999998
ENSMUSG00000020390.13:B1	E:51891503-51891589	exon	random hexamer	5	0.159745761639856	0.7999999999999999
ENSMUSG00000020390.13:B1	J:51891188-51891503	junction	poly(dT)	4	0.08029979724531666	0.19999999999999998
ENSMUSG00000020390.13:B1	J:51891188-51891503	junction	random hexamer	5	0.159745761639856	0.19999999999999998
ENSMUSG00000020524.17:B1	E:56902635-56902781	exon	random hexamer	8	0.050082880298879806	0.28571428571428575
ENSMUSG00000020661.16:B1	E:3857029-3857120	exon	random hexamer	3	0.07622490773887414	1.0
ENSMUSG00000020661.16:B1	E:3885026-3885260	exon	random hexamer	3	0.07622490773887414	-1.0
ENSMUSG00000020661.16:B1	E:3899634-3899739	exon	random hexamer	3	0.07622490773887414	-1.0
ENSMUSG00000020661.16:B1	E:3915984-3916252	exon	random hexamer	3	0.07622490773887414	-1.0
ENSMUSG00000020661.16:B1	E:3922834-3922878	exon	random hexamer	3	0.07622490773887414	-0.5
ENSMUSG00000020661.16:B1	E:3923281-3923428	exon	random hexamer	3	0.07622490773887414	-0.5
ENSMUSG00000020661.16:B1	E:3941727-3941743	exon	random hexamer	3	0.09001542949529723	-1.0
ENSMUSG00000020661.16:B1	E:3941743-3941860	exon	random hexamer	3	0.07622490773887403	-0.5
ENSMUSG00000020661.16:B1	J:3857120-3885026	junction	random hexamer	3	0.07622490773887414	1.0
ENSMUSG00000020661.16:B1	J:3885260-3899634	junction	random hexamer	3	0.07622490773887414	0.5
ENSMUSG00000020661.16:B1	J:3899739-3915984	junction	random hexamer	3	0.07622490773887414	-1.0
ENSMUSG00000020661.16:B1	J:3916252-3922834	junction	random hexamer	3	0.07622490773887414	0.5
ENSMUSG00000020661.16:B1	J:3922878-3923281	junction	random hexamer	3	0.07622490773887414	0.5
ENSMUSG00000020661.16:B1	J:3923428-3945542	junction	random hexamer	3	0.07622490773887414	-1.0
ENSMUSG00000020827.19:B1	E:70453715-70453842	exon	random hexamer	6	0.06503099993232014	0.028571428571428574
ENSMUSG00000020827.19:B1	E:70453842-70453895	exon	random hexamer	6	0.08726991747344193	0.7714285714285715
ENSMUSG00000020827.19:B2	E:70494760-70494769	exon	random hexamer	5	0.08952153979749966	0.7999999999999999
ENSMUSG00000020827.19:B2	J:70494760-70495009	junction	random hexamer	5	0.08952153979749952	-0.6708203932499368
ENSMUSG00000020827.19:B2	J:70494769-70495009	junction	random hexamer	5	0.08952153979749966	0.9999999999999999
ENSMUSG00000020859.17:B1	E:93886928-93887399	exon	poly(dT)	5	0.24819944089098311	0.6
ENSMUSG00000020859.17:B1	E:93886928-93887399	exon	random hexamer	4	0.1279953570747172	-0.7999999999999999
