Name Chr Start End EXcortical_polydT_0 EXcortical_randomhexamer_0 INHmidbrain_polydT_0 INHmidbrain_randomhexamer_0
chr16:84752212-84752213 chr16 84752212 84752213 11.314113308749581 8.632249413342274 11.746522411128284 12.982998454404946
chr16:84752213-84752214 chr16 84752213 84752214 12.487428762990278 10.476030841434797 12.364760432766616 17.001545595054097
chr16:84752214-84752215 chr16 84752214 84752215 12.822661749916191 12.822661749916191 0.0 19.165378670788254
chr16:84752214-84752216 chr16 84752214 84752216 0.0 0.0 12.673879443585781 0.0
chr16:84752215-84752216 chr16 84752215 84752216 13.074086490110627 13.40931947703654 0.0 20.09273570324575
chr16:84752216-84752217 chr16 84752216 84752217 13.49312772376802 14.834059671471673 0.0 22.874806800618238
chr16:84752216-84752221 chr16 84752216 84752221 0.0 0.0 13.292117465224111 0.0
chr16:84752217-84752218 chr16 84752217 84752218 13.744552463962455 14.917867918203152 0.0 0.0
chr16:84752217-84752219 chr16 84752217 84752219 0.0 0.0 0.0 23.183925811437405
chr16:84752218-84752219 chr16 84752218 84752219 0.0 15.253100905129065 0.0 0.0
chr16:84752218-84752220 chr16 84752218 84752220 13.828360710693932 0.0 0.0 0.0
chr16:84752219-84752220 chr16 84752219 84752220 0.0 0.0 0.0 23.802163833075735
chr16:84752219-84752221 chr16 84752219 84752221 0.0 15.5045256453235 0.0 0.0
chr16:84752220-84752221 chr16 84752220 84752221 14.079785450888368 0.0 0.0 24.111282843894898
chr16:84752221-84752222 chr16 84752221 84752222 14.163593697619847 16.258799865906806 0.0 25.347758887171562
chr16:84752221-84752223 chr16 84752221 84752223 0.0 0.0 13.910355486862441 0.0
chr16:84752222-84752223 chr16 84752222 84752223 14.247401944351324 16.426416359369764 0.0 25.965996908809892
chr16:84752223-84752224 chr16 84752223 84752224 14.41501843781428 16.51022460610124 0.0 26.275115919629055
chr16:84752223-84752226 chr16 84752223 84752226 0.0 0.0 14.219474497681608 0.0
chr16:84752224-84752225 chr16 84752224 84752225 14.49882668454576 17.01307408649011 0.0 0.0
chr16:84752224-84752226 chr16 84752224 84752226 0.0 0.0 0.0 27.202472952086552
chr16:84752225-84752226 chr16 84752225 84752226 14.666443178008716 17.264498826684548 0.0 0.0
chr16:84752226-84752227 chr16 84752226 84752227 15.169292658397588 18.018773047267853 14.528593508500773 27.820710973724882
chr16:84752227-84752228 chr16 84752227 84752228 15.839758632249413 18.52162252765672 0.0 28.12982998454405
chr16:84752227-84752229 chr16 84752227 84752229 0.0 0.0 14.837712519319938 0.0
chr16:84752228-84752229 chr16 84752228 84752229 16.09118337244385 18.856855514582637 0.0 28.438948995363216
chr16:84752229-84752230 chr16 84752229 84752230 16.51022460610124 19.10828025477707 15.765069551777435 29.675425038639876
chr16:84752230-84752231 chr16 84752230 84752231 17.59973181361046 20.19778746228629 17.31066460587326 30.602782071097373
chr16:84752231-84752232 chr16 84752231 84752232 17.934964800536374 20.533020449212202 0.0 0.0
chr16:84752231-84752233 chr16 84752231 84752233 0.0 0.0 17.619783616692427 31.839258114374033
chr16:84752232-84752233 chr16 84752232 84752233 18.186389540730808 20.70063694267516 0.0 0.0
chr16:84752233-84752234 chr16 84752233 84752234 18.52162252765672 21.287294669795507 18.238021638330757 32.766615146831526
chr16:84752234-84752235 chr16 84752234 84752235 18.773047267851158 21.538719409989945 18.547140649149924 34.003091190108194
chr16:84752235-84752236 chr16 84752235 84752236 18.856855514582637 21.957760643647337 19.474497681607417 34.31221020092735
chr16:84752236-84752237 chr16 84752236 84752237 19.10828025477707 22.37680187730473 20.09273570324575 0.0
chr16:84752236-84752238 chr16 84752236 84752238 0.0 0.0 0.0 36.78516228748068
chr16:84752237-84752238 chr16 84752237 84752238 19.443513241702984 23.214884344619513 0.0 0.0
chr16:84752237-84752239 chr16 84752237 84752239 0.0 0.0 20.401854714064914 0.0
chr16:84752238-84752239 chr16 84752238 84752239 19.694937981897418 23.382500838082468 0.0 37.40340030911901
chr16:84752239-84752240 chr16 84752239 84752240 19.862554475360376 24.052966811934294 20.71097372488408 39.258114374034
chr16:84752240-84752241 chr16 84752240 84752241 20.449212202480727 24.891049279249078 21.020092735703244 40.1854714064915
chr16:84752241-84752242 chr16 84752241 84752242 20.533020449212202 26.064364733489775 21.638330757341578 40.49459041731066
chr16:84752242-84752243 chr16 84752242 84752243 21.035869929601073 26.734830707341604 22.256568778979908 41.73106646058733
chr16:84752243-84752244 chr16 84752243 84752244 22.041568890378816 27.656721421387864 23.493044822256568 0.0
chr16:84752243-84752245 chr16 84752243 84752245 0.0 0.0 0.0 42.65842349304482
chr16:84752244-84752245 chr16 84752244 84752245 22.12537713711029 28.159570901776735 24.420401854714065 0.0
chr16:84752245-84752246 chr16 84752245 84752246 22.79584311096212 29.081461615823 0.0 44.82225656877898
chr16:84752245-84752248 chr16 84752245 84752248 0.0 0.0 24.72952086553323 0.0
chr16:84752246-84752247 chr16 84752246 84752247 22.879651357693596 29.332886356017433 0.0 45.749613601236476
chr16:84752247-84752248 chr16 84752247 84752248 23.214884344619513 30.00335232986926 0.0 46.05873261205564
chr16:84752248-84752249 chr16 84752248 84752249 23.466309084813947 30.59001005698961 25.656877897990725 46.67697063369397
chr16:84752249-84752250 chr16 84752249 84752250 23.88535031847134 31.09285953737848 0.0 47.2952086553323
chr16:84752249-84752251 chr16 84752249 84752251 0.0 0.0 25.965996908809892 0.0
chr16:84752250-84752251 chr16 84752250 84752251 24.30439155212873 31.260476030841435 0.0 47.60432766615147
chr16:84752251-84752252 chr16 84752251 84752252 24.555816292323165 32.266174991619174 27.202472952086552 49.1499227202473
chr16:84752252-84752254 chr16 84752252 84752254 0.0 33.02044921220248 0.0 0.0
chr16:84752252-84752255 chr16 84752252 84752255 0.0 0.0 27.51159196290572 0.0
chr16:84752252-84752256 chr16 84752252 84752256 24.639624539054644 0.0 0.0 50.07727975270479
chr16:84752254-84752255 chr16 84752254 84752255 0.0 33.523298692591354 0.0 0.0
chr16:84752255-84752256 chr16 84752255 84752256 0.0 33.69091518605431 27.820710973724882 0.0
chr16:84752256-84752257 chr16 84752256 84752257 24.807241032517602 34.02614817298022 28.12982998454405 0.0
chr16:84752256-84752259 chr16 84752256 84752259 0.0 0.0 0.0 51.62287480680062
chr16:84752257-84752258 chr16 84752257 84752258 25.058665772712036 34.1099564197117 28.438948995363216 0.0
chr16:84752258-84752259 chr16 84752258 84752259 24.807241032517602 34.528997653369096 28.12982998454405 0.0
chr16:84752259-84752260 chr16 84752259 84752260 25.39389875963795 35.45088836741535 0.0 53.168469860896444
chr16:84752259-84752261 chr16 84752259 84752261 0.0 0.0 28.438948995363216 0.0
chr16:84752260-84752261 chr16 84752260 84752261 25.9805564867583 36.037546094535706 0.0 54.71406491499227
chr16:84752261-84752262 chr16 84752261 84752262 26.064364733489775 36.70801206838753 28.74806800618238 56.2596599690881
chr16:84752262-84752263 chr16 84752262 84752263 31.595709017767348 59.08481394569226 29.675425038639876 68.00618238021639
chr16:84752263-84752264 chr16 84752263 84752264 31.679517264498827 59.922896413007045 0.0 69.24265842349304
chr16:84752263-84752265 chr16 84752263 84752265 0.0 0.0 30.293663060278206 0.0
chr16:84752264-84752265 chr16 84752264 84752265 32.09855849815622 60.59336238685887 0.0 69.86089644513137
chr16:84752265-84752266 chr16 84752265 84752266 33.774723432785784 64.95139121689574 30.602782071097373 72.3338485316847
chr16:84752266-84752267 chr16 84752266 84752267 33.85853167951726 65.78947368421053 30.911901081916536 72.95208655332303
chr16:84752267-84752268 chr16 84752267 84752268 34.1099564197117 67.4656386188401 31.221020092735703 0.0
chr16:84752267-84752269 chr16 84752267 84752269 0.0 0.0 0.0 76.04327666151468
chr16:84752268-84752269 chr16 84752268 84752269 34.27757291317466 67.800871605766 31.53013910355487 0.0
chr16:84752269-84752270 chr16 84752269 84752270 0.0 68.97418706000671 31.221020092735703 78.516228748068
chr16:84752269-84752272 chr16 84752269 84752272 34.44518940663762 0.0 0.0 0.0
chr16:84752270-84752271 chr16 84752270 84752271 0.0 68.80657056654375 30.911901081916536 76.97063369397218
chr16:84752271-84752272 chr16 84752271 84752272 0.0 69.3932282936641 0.0 78.82534775888718
chr16:84752271-84752273 chr16 84752271 84752273 0.0 0.0 31.839258114374033 0.0
chr16:84752272-84752273 chr16 84752272 84752273 34.69661414683205 69.72846128059001 0.0 79.75270479134467
chr16:84752273-84752274 chr16 84752273 84752274 34.864230640295006 70.31511900771036 32.45749613601237 80.370942812983
chr16:84752274-84752275 chr16 84752274 84752275 35.19946362722092 70.9017767348307 33.07573415765069 82.22565687789799
chr16:84752275-84752276 chr16 84752275 84752276 35.70231310760979 72.74555816292323 0.0 84.69860896445131
chr16:84752275-84752277 chr16 84752275 84752277 0.0 0.0 34.003091190108194 0.0
chr16:84752276-84752277 chr16 84752276 84752277 35.95373784780423 74.25410660408984 0.0 0.0
chr16:84752276-84752278 chr16 84752276 84752278 0.0 0.0 0.0 86.55332302936631
chr16:84752277-84752278 chr16 84752277 84752278 0.0 74.75695608447872 0.0 0.0
chr16:84752277-84752279 chr16 84752277 84752279 36.037546094535706 0.0 34.31221020092735 0.0
chr16:84752278-84752279 chr16 84752278 84752279 0.0 75.42742205833055 0.0 87.78979907264296
chr16:84752279-84752280 chr16 84752279 84752280 36.20516258799866 76.18169627891385 35.239567233384854 89.02627511591963
chr16:84752280-84752281 chr16 84752280 84752281 36.79182031511901 77.1035869929601 35.54868624420402 89.64451313755796
chr16:84752281-84752282 chr16 84752281 84752282 37.546094535702316 78.77975192758967 0.0 90.57187017001546
chr16:84752281-84752283 chr16 84752281 84752283 0.0 0.0 36.476043276661514 0.0
chr16:84752282-84752283 chr16 84752282 84752283 37.629902782433795 79.11498491451559 0.0 91.49922720247295
chr16:84752283-84752284 chr16 84752283 84752284 38.97083473013745 83.22158900435804 37.40340030911901 95.5177743431221
chr16:84752284-84752285 chr16 84752284 84752285 39.64130070398927 86.15487763995978 38.33075734157651 99.22720247295209
chr16:84752285-84752286 chr16 84752285 84752286 40.56319141803554 88.66912504190412 39.876352395672335 103.24574961360123
chr16:84752286-84752287 chr16 84752286 84752287 42.658397586322494 94.28427757291318 42.65842349304482 113.13755795981453
chr16:84752287-84752288 chr16 84752287 84752288 44.08313778075763 97.55279919544084 43.89489953632148 116.53786707882534
chr16:84752288-84752289 chr16 84752288 84752289 50.36875628561851 112.63828360710694 52.55023183925811 137.2488408037094
chr16:84752289-84752290 chr16 84752289 84752290 50.53637277908146 113.47636607442173 0.0 137.86707882534776
chr16:84752289-84752294 chr16 84752289 84752294 0.0 0.0 52.85935085007728 0.0
chr16:84752290-84752291 chr16 84752290 84752291 50.87160576600738 114.39825678846799 0.0 139.10355486862443
chr16:84752291-84752292 chr16 84752291 84752292 51.123030506201815 115.9068052296346 0.0 141.26738794435857
chr16:84752292-84752293 chr16 84752292 84752293 51.206838752933294 116.91250419041233 0.0 0.0
chr16:84752292-84752294 chr16 84752292 84752294 0.0 0.0 0.0 141.8856259659969
chr16:84752293-84752294 chr16 84752293 84752294 51.290646999664766 117.58297016426417 0.0 0.0
chr16:84752294-84752295 chr16 84752294 84752295 51.374455246396245 118.08581964465304 52.55023183925811 142.8129829984544
chr16:84752295-84752296 chr16 84752295 84752296 51.70968823332216 120.09721756620851 53.78670788253478 144.04945904173107
chr16:84752296-84752297 chr16 84752296 84752297 0.0 120.68387529332887 0.0 143.43122102009272
chr16:84752296-84752299 chr16 84752296 84752299 51.87730472678512 0.0 54.09582689335394 0.0
chr16:84752297-84752298 chr16 84752297 84752298 0.0 121.60576600737512 0.0 145.5950540958269
chr16:84752298-84752299 chr16 84752298 84752299 0.0 121.77338250083808 0.0 146.21329211746522
chr16:84752299-84752300 chr16 84752299 84752300 51.9611129735166 122.69527321488435 55.332302936630605 147.44976816074188
chr16:84752300-84752301 chr16 84752300 84752301 52.21253771371103 123.03050620181027 0.0 148.3771251931994
chr16:84752300-84752313 chr16 84752300 84752313 0.0 0.0 55.641421947449764 0.0
chr16:84752301-84752302 chr16 84752301 84752302 0.0 123.19812269527321 0.0 148.9953632148377
chr16:84752301-84752305 chr16 84752301 84752305 52.29634596044251 0.0 0.0 0.0
chr16:84752302-84752303 chr16 84752302 84752303 0.0 123.36573918873617 0.0 149.30448222565687
chr16:84752303-84752304 chr16 84752303 84752304 0.0 123.44954743546765 0.0 149.61360123647603
chr16:84752304-84752305 chr16 84752304 84752305 0.0 123.61716392893061 0.0 150.23183925811438
chr16:84752305-84752306 chr16 84752305 84752306 0.0 123.86858866912505 0.0 150.54095826893354
chr16:84752305-84752307 chr16 84752305 84752307 52.38015420717399 0.0 0.0 0.0
chr16:84752306-84752307 chr16 84752306 84752307 0.0 124.28762990278244 0.0 151.46831530139104
chr16:84752307-84752308 chr16 84752307 84752308 0.0 124.70667113643984 0.0 152.08655332302936
chr16:84752307-84752309 chr16 84752307 84752309 52.547770700636946 0.0 0.0 0.0
chr16:84752308-84752309 chr16 84752308 84752309 0.0 124.87428762990278 0.0 152.70479134466768
chr16:84752309-84752310 chr16 84752309 84752310 52.631578947368425 0.0 0.0 153.01391035548687
chr16:84752309-84752312 chr16 84752309 84752312 0.0 125.12571237009722 0.0 0.0
chr16:84752310-84752312 chr16 84752310 84752312 52.715387194099904 0.0 0.0 153.6321483771252
chr16:84752312-84752313 chr16 84752312 84752313 52.79919544083138 126.29902782433793 0.0 154.5595054095827
chr16:84752313-84752314 chr16 84752313 84752314 53.05062018102581 0.0 0.0 0.0
chr16:84752313-84752315 chr16 84752313 84752315 0.0 126.63426081126383 0.0 155.17774343122102
chr16:84752313-84752317 chr16 84752313 84752317 0.0 0.0 55.95054095826893 0.0
chr16:84752314-84752315 chr16 84752314 84752315 53.13442842775729 0.0 0.0 0.0
chr16:84752315-84752316 chr16 84752315 84752316 0.0 127.22091853838418 0.0 157.032457496136
chr16:84752315-84752317 chr16 84752315 84752317 53.55346966141469 0.0 0.0 0.0
chr16:84752316-84752317 chr16 84752316 84752317 0.0 127.89138451223602 0.0 157.65069551777435
chr16:84752317-84752318 chr16 84752317 84752318 0.0 127.97519275896748 56.2596599690881 158.26893353941267
chr16:84752317-84752321 chr16 84752317 84752321 53.63727790814616 0.0 0.0 0.0
chr16:84752318-84752321 chr16 84752318 84752321 0.0 128.47804223935637 56.568778979907265 158.887171561051
chr16:84753092-84753211 chr16 84753092 84753211 0.08380824673147838 0.0 0.0 0.0
chr16:84753306-84753439 chr16 84753306 84753439 0.0 0.08380824673147838 0.0 0.0
chr16:84758023-84758119 chr16 84758023 84758119 0.0 0.0 0.0 0.3091190108191654
chr16:84758632-84758654 chr16 84758632 84758654 0.0 0.0 0.0 0.3091190108191654
chr16:84758943-84759051 chr16 84758943 84759051 0.0 0.0 0.3091190108191654 0.0
chr16:84759609-84759610 chr16 84759609 84759610 0.0 0.16761649346295676 0.0 0.3091190108191654
chr16:84759610-84759611 chr16 84759610 84759611 0.0 128.89708347301374 0.0 0.0
chr16:84759610-84759612 chr16 84759610 84759612 0.0 0.0 0.0 159.19629057187018
chr16:84759610-84759613 chr16 84759610 84759613 53.63727790814616 0.0 0.0 0.0
chr16:84759610-84759614 chr16 84759610 84759614 0.0 0.0 56.568778979907265 0.0
chr16:84759611-84759612 chr16 84759611 84759612 0.0 129.0646999664767 0.0 0.0
chr16:84759612-84759614 chr16 84759612 84759614 0.0 129.23231645993965 0.0 158.887171561051
chr16:84759613-84759614 chr16 84759613 84759614 53.46966141468321 0.0 0.0 0.0
chr16:84759614-84759615 chr16 84759614 84759615 53.05062018102581 130.32182366744888 56.2596599690881 159.50540958268934
chr16:84759615-84759616 chr16 84759615 84759616 52.79919544083138 131.91418035534696 0.0 0.0
chr16:84759615-84759617 chr16 84759615 84759617 0.0 0.0 56.568778979907265 161.05100463678517
chr16:84759616-84759617 chr16 84759616 84759617 52.715387194099904 131.66275561515255 0.0 0.0
chr16:84759617-84759618 chr16 84759617 84759618 52.21253771371103 131.4951391216896 55.641421947449764 159.8145285935085
chr16:84759618-84759619 chr16 84759618 84759619 52.04492122024808 131.32752262822663 55.02318392581144 159.50540958268934
chr16:84759619-84759620 chr16 84759619 84759620 51.62587998659068 131.24371438149515 0.0 159.8145285935085
chr16:84759619-84759622 chr16 84759619 84759622 0.0 0.0 54.71406491499227 0.0
chr16:84759620-84759621 chr16 84759620 84759621 51.374455246396245 131.15990613476367 0.0 160.43276661514682
chr16:84759621-84759622 chr16 84759621 84759622 51.290646999664766 130.57324840764332 0.0 159.8145285935085
chr16:84759622-84759623 chr16 84759622 84759623 50.53637277908146 0.0 53.78670788253478 0.0
chr16:84759622-84759624 chr16 84759622 84759624 0.0 131.24371438149515 0.0 160.12364760432766
chr16:84759623-84759624 chr16 84759623 84759624 50.45256453234999 0.0 0.0 0.0
chr16:84759623-84759625 chr16 84759623 84759625 0.0 0.0 53.47758887171561 0.0
chr16:84759624-84759625 chr16 84759624 84759625 50.20113979215555 131.4113308749581 0.0 0.0
chr16:84759624-84759626 chr16 84759624 84759626 0.0 0.0 0.0 161.05100463678517
chr16:84759625-84759626 chr16 84759625 84759626 50.28494803888703 131.57894736842107 53.168469860896444 0.0
chr16:84759626-84759627 chr16 84759626 84759627 50.11733154542407 131.66275561515255 52.85935085007728 0.0
chr16:84759626-84759628 chr16 84759626 84759628 0.0 0.0 0.0 161.36012364760433
chr16:84759627-84759628 chr16 84759627 84759628 0.0 131.4113308749581 52.55023183925811 0.0
chr16:84759627-84759630 chr16 84759627 84759630 49.782098558498156 0.0 0.0 0.0
chr16:84759628-84759629 chr16 84759628 84759629 0.0 132.08179684880992 52.24111282843895 161.05100463678517
chr16:84759629-84759630 chr16 84759629 84759630 0.0 131.74656386188403 0.0 0.0
chr16:84759629-84759631 chr16 84759629 84759631 0.0 0.0 0.0 160.43276661514682
chr16:84759629-84759632 chr16 84759629 84759632 0.0 0.0 51.931993817619784 0.0
chr16:84759630-84759631 chr16 84759630 84759631 49.614482065035205 132.41702983573583 0.0 0.0
chr16:84759631-84759632 chr16 84759631 84759632 49.19544083137781 0.0 0.0 161.36012364760433
chr16:84759631-84759633 chr16 84759631 84759633 0.0 132.83607106939323 0.0 0.0
chr16:84759632-84759633 chr16 84759632 84759633 48.441166610794504 0.0 50.38639876352396 160.741885625966
chr16:84759633-84759634 chr16 84759633 84759634 48.273550117331546 133.0036875628562 0.0 160.43276661514682
chr16:84759633-84759635 chr16 84759633 84759635 0.0 0.0 50.07727975270479 0.0
chr16:84759634-84759635 chr16 84759634 84759635 48.441166610794504 133.08749580958767 0.0 161.36012364760433
chr16:84759635-84759636 chr16 84759635 84759636 48.189741870600066 134.26081126382837 49.45904173106646 162.90571870170015
chr16:84759636-84759637 chr16 84759636 84759637 47.6868923902112 134.09319477036541 0.0 162.28748068006183
chr16:84759636-84759638 chr16 84759636 84759638 0.0 0.0 49.1499227202473 0.0
chr16:84759637-84759638 chr16 84759637 84759638 47.51927589674824 134.26081126382837 0.0 0.0
chr16:84759637-84759639 chr16 84759637 84759639 0.0 0.0 0.0 162.596599690881
chr16:84759638-84759639 chr16 84759638 84759639 47.35165940328528 134.5122360040228 48.84080370942813 0.0
chr16:84759639-84759640 chr16 84759639 84759640 45.92691920885015 133.7579617834395 47.60432766615147 160.741885625966
chr16:84759640-84759641 chr16 84759640 84759641 45.340261481729804 133.3389205497821 47.2952086553323 160.43276661514682
chr16:84759641-84759642 chr16 84759641 84759642 45.00502849480389 133.59034528997654 0.0 160.741885625966
chr16:84759641-84759643 chr16 84759641 84759643 0.0 0.0 46.67697063369397 0.0
chr16:84759642-84759643 chr16 84759642 84759643 44.5859872611465 133.50653704324506 0.0 0.0
chr16:84759642-84759644 chr16 84759642 84759644 0.0 0.0 0.0 161.97836166924264
chr16:84759643-84759644 chr16 84759643 84759644 47.18404290982233 133.67415353670802 0.0 0.0
chr16:84759643-84759648 chr16 84759643 84759648 0.0 0.0 49.1499227202473 0.0
chr16:84759644-84759645 chr16 84759644 84759645 47.51927589674824 134.00938652363394 0.0 163.2148377125193
chr16:84759645-84759646 chr16 84759645 84759646 0.0 134.34461951055985 0.0 163.83307573415766
chr16:84759645-84759647 chr16 84759645 84759647 47.18404290982233 0.0 0.0 0.0
chr16:84759646-84759647 chr16 84759646 84759647 0.0 133.92557827690246 0.0 164.14219474497682
chr16:84759647-84759648 chr16 84759647 84759648 47.10023466309085 133.17130405631914 0.0 164.45131375579598
chr16:84759648-84759649 chr16 84759648 84759649 46.5135769359705 132.5846463291988 48.53168469860896 0.0
chr16:84759648-84759650 chr16 84759648 84759650 0.0 0.0 0.0 164.14219474497682
chr16:84759649-84759650 chr16 84759649 84759650 0.0 133.0036875628562 47.913446676970636 0.0
chr16:84759649-84759651 chr16 84759649 84759651 46.17834394904459 0.0 0.0 0.0
chr16:84759650-84759651 chr16 84759650 84759651 0.0 0.0 0.0 163.2148377125193
chr16:84759650-84759652 chr16 84759650 84759652 0.0 132.33322158900435 0.0 0.0
chr16:84759650-84759653 chr16 84759650 84759653 0.0 0.0 48.222565687789796 0.0
chr16:84759651-84759652 chr16 84759651 84759652 45.50787797519276 0.0 0.0 0.0
chr16:84759651-84759653 chr16 84759651 84759653 0.0 0.0 0.0 161.97836166924264
chr16:84759652-84759653 chr16 84759652 84759653 45.172644988266846 132.08179684880992 0.0 0.0
chr16:84759653-84759654 chr16 84759653 84759654 44.5859872611465 131.4951391216896 0.0 160.12364760432766
chr16:84759653-84759656 chr16 84759653 84759656 0.0 0.0 46.67697063369397 0.0
chr16:84759654-84759655 chr16 84759654 84759655 44.66979550787798 130.57324840764332 0.0 159.8145285935085
chr16:84759655-84759656 chr16 84759655 84759656 44.25075427422058 130.6570566543748 0.0 159.19629057187018
chr16:84759656-84759657 chr16 84759656 84759657 43.99932953402615 130.07039892725444 46.05873261205564 155.79598145285934
chr16:84759657-84759658 chr16 84759657 84759658 43.831713040563194 130.2380154207174 45.749613601236476 155.17774343122102
chr16:84759658-84759659 chr16 84759658 84759659 42.658397586322494 129.0646999664767 44.513137557959816 152.39567233384852
