test_id	block_id	gene_id	gene_name	event_type	event_components	chromosome	strand	left_anchor	right_anchor	n_tested_paths	tested_path_signatures	n_test_levels	statistic	empirical_p_value	fdr
ENSMUSG00000013033.17:B1	ENSMUSG00000013033.17:B1	ENSMUSG00000013033.17	Adgrl1	alternative first region		chr8	+	null	[84656092, 84656893]	3	[[[84627343, 84627553], [84642035, 84642197], [84645448, 84645662], [84649627, 84649737], [84652890, 84652905]], [[84627363, 84627553], [84642035, 84642197], [84645448, 84645662], [84649627, 84649737]], [[84650779, 84650984], [84652890, 84652905]]]	6	43.0665157927477	0.0001905306277984	0.0015180391809236
ENSMUSG00000014592.22:B1	ENSMUSG00000014592.22:B1	ENSMUSG00000014592.22	Camta1	alternative first region	alternative acceptor	chr4	-	[151173286, 151173438]	null	2	[[[151946081, 151946203], [151920270, 151920340], [151914874, 151914993], [151670871, 151670939], [151537740, 151537876], [151374488, 151374560], [151248272, 151248426], [151232866, 151233007], [151228172, 151230025], [151222770, 151222897], [151215998, 151216133]], [[151946081, 151946333], [151920270, 151920340], [151914874, 151914993], [151670871, 151670939], [151537740, 151537876], [151374488, 151374560], [151248272, 151248426], [151232866, 151233007], [151228172, 151230025], [151222770, 151222897], [151215998, 151216133]]]	5	25.115275253944912	0.0001239925604463	0.0015180391809236
ENSMUSG00000014602.16:B1	ENSMUSG00000014602.16:B1	ENSMUSG00000014602.16	Kif1a	alternative first region	alternative acceptor; multi-exon skipping	chr1	-	[93010037, 93010143]	null	3	[[], [[93029484, 93029553], [93010143, 93010202]], [[93029484, 93029569], [93010143, 93010202]]]	10	91.43448168907034	9.52653138992093e-05	0.0015180391809236
ENSMUSG00000015222.19:B1	ENSMUSG00000015222.19:B1	ENSMUSG00000015222.19	Map2	alternative first region	alternative acceptor; mutually exclusive exons	chr1	+	null	[66419647, 66419932]	4	[[[66290820, 66290871], [66361562, 66361627], [66401361, 66401439]], [[66360877, 66361301], [66361562, 66361627], [66401361, 66401439]], [[66403813, 66403935]], [[66403816, 66403935]]]	8	167.17776840909482	9.52653138992093e-05	0.0015180391809236
ENSMUSG00000015222.19:B2	ENSMUSG00000015222.19:B2	ENSMUSG00000015222.19	Map2	cassette exon	cassette exon	chr1	+	[66438547, 66438661]	[66440605, 66440680]	2	[[], [[66440602, 66440605]]]	8	72.97291872652606	9.52653138992093e-05	0.0015180391809236
ENSMUSG00000015222.19:B5	ENSMUSG00000015222.19:B5	ENSMUSG00000015222.19	Map2	alternative last region	alternative donor; cassette exon	chr1	+	[66477950, 66478347]	null	3	[[], [[66478347, 66481740]], [[66478347, 66481742]]]	8	57.71840827219738	0.0001905306277984	0.0015180391809236
ENSMUSG00000015501.11:B1	ENSMUSG00000015501.11:B1	ENSMUSG00000015501.11	Hivep2	alternative first region		chr10	+	null	[13942326, 13942428]	2	[[[13841818, 13841964], [13879944, 13880019]], [[13842122, 13842441]]]	7	24.49162873373827	0.000892657888864	0.0045294122509029
ENSMUSG00000015597.18:B1	ENSMUSG00000015597.18:B1	ENSMUSG00000015597.18	Zfp318	alternative first region	cassette exon	chr17	+	null	[46694676, 46695256]	2	[[], [[46694656, 46694676]]]	3	9.468126084163716	0.0012498798192481	0.005812104329193
ENSMUSG00000015599.10:B1	ENSMUSG00000015599.10:B1	ENSMUSG00000015599.10	Ttbk1	alternative first region	multi-exon skipping	chr17	-	[46795075, 46795221]	null	2	[[], [[46798351, 46798601], [46795221, 46795237]]]	5	18.105317084443328	0.0004959702417854	0.0027012935798775
ENSMUSG00000015829.14:B1	ENSMUSG00000015829.14:B1	ENSMUSG00000015829.14	Tnr	alternative first region	mutually exclusive exons	chr1	+	null	[159565080, 159565181]	2	[[[159351338, 159351785]], [[159565079, 159565080]]]	4	9.060509786546248	0.0142371172987274	0.0443977906780138
ENSMUSG00000015968.19:B1	ENSMUSG00000015968.19:B1	ENSMUSG00000015968.19	Cacna1d	alternative first region	alternative acceptor; mutually exclusive exons	chr14	-	[30072596, 30072906]	null	4	[[[30074881, 30074948]], [[30074881, 30075441]], [[30074881, 30075483]], [[30212925, 30213410]]]	3	22.51137369142674	0.0011158223610801	0.0053715587875538
ENSMUSG00000015968.19:B2	ENSMUSG00000015968.19:B2	ENSMUSG00000015968.19	Cacna1d	mutually exclusive exons	mutually exclusive exons	chr14	-	[29864504, 29864674]	[29900501, 29900698]	2	[[[29893252, 29893356]], [[29893912, 29894016]]]	3	7.0267928691535575	0.0096144601480626	0.0317341109805623
ENSMUSG00000015968.19:B3	ENSMUSG00000015968.19:B3	ENSMUSG00000015968.19	Cacna1d	cassette exon	cassette exon	chr14	-	[29852073, 29852161]	[29864504, 29864674]	2	[[], [[29858997, 29859081]]]	3	10.346482581362652	0.000769156811845	0.0039706327011477
ENSMUSG00000017631.20:B1	ENSMUSG00000017631.20:B1	ENSMUSG00000017631.20	Abr	alternative first region	alternative acceptor	chr11	-	[76355063, 76355116]	null	4	[[[76359080, 76359291]], [[76399713, 76399821], [76377263, 76377362], [76369820, 76370006], [76363314, 76363422], [76359541, 76359602]], [[76399713, 76400245], [76377263, 76377362], [76369820, 76370006], [76363314, 76363422], [76359541, 76359602]], [[76461856, 76462361], [76399713, 76399898], [76377263, 76377362], [76369820, 76370006], [76363314, 76363422], [76359541, 76359602]]]	6	58.70877875476806	0.0001905306277984	0.0015180391809236
ENSMUSG00000017631.20:B2	ENSMUSG00000017631.20:B2	ENSMUSG00000017631.20	Abr	alternative last region	alternative donor	chr11	-	null	[76309929, 76310019]	3	[[[76307559, 76309929]], [[76307560, 76309929]], [[76307576, 76309929]]]	6	48.749294945632535	0.0001905306277984	0.0015180391809236
ENSMUSG00000017670.17:B1	ENSMUSG00000017670.17:B1	ENSMUSG00000017670.17	Elmo2	alternative first region	mutually exclusive exons	chr2	-	[165158158, 165158271]	null	2	[[[165158561, 165158823]], [[165168337, 165168399]]]	6	20.09634743333121	0.0005932370970931	0.003172838648417
ENSMUSG00000017670.17:B2	ENSMUSG00000017670.17:B2	ENSMUSG00000017670.17	Elmo2	cassette exon	cassette exon	chr2	-	[165143860, 165143911]	[165146819, 165146898]	2	[[], [[165145585, 165145621]]]	6	19.378291853936364	0.0011864741941862	0.0056199748400153
ENSMUSG00000017740.18:B1	ENSMUSG00000017740.18:B1	ENSMUSG00000017740.18	Slc12a5	alternative first region	mutually exclusive exons	chr2	+	null	[164815606, 164815701]	2	[[[164802765, 164802923]], [[164809902, 164810374]]]	5	16.2721415094148	0.0007439553626782	0.0038629285741397
ENSMUSG00000018501.18:B1	ENSMUSG00000018501.18:B1	ENSMUSG00000018501.18	Ncor1	whole-gene complex		chr11	-	null	null	3	[[[62250586, 62250617], [62249680, 62249841], [62245396, 62245514], [62245196, 62245298], [62244059, 62244160], [62242203, 62242372], [62236060, 62236144], [62235457, 62235714], [62233822, 62234177], [62231233, 62231455], [62229684, 62229894], [62228924, 62229074], [62228370, 62228520], [62225321, 62225487], [62224488, 62224982], [62221621, 62221750], [62220801, 62220965], [62220266, 62220478], [62217931, 62218072], [62216312, 62216455], [62212217, 62212271], [62211821, 62212043], [62210191, 62210368], [62208622, 62208856]], [[62347973, 62348149], [62329163, 62329341], [62324388, 62324525], [62313700, 62313893], [62310423, 62310606], [62301645, 62301759], [62295235, 62295292], [62294624, 62294677], [62292208, 62294288]], [[62347973, 62348158], [62329163, 62329341], [62324388, 62324525], [62313700, 62313893], [62310423, 62310606], [62301645, 62301759], [62295235, 62295292], [62294624, 62294677], [62292026, 62292093], [62289090, 62289263], [62285963, 62286054], [62283330, 62283509], [62281804, 62281859], [62280516, 62280618], [62275543, 62275668], [62273986, 62274201], [62272233, 62272296], [62269340, 62269480], [62267460, 62267587], [62263901, 62264448], [62260119, 62260249], [62257789, 62257985], [62249680, 62249841], [62245396, 62245514], [62245196, 62245298], [62244059, 62244160], [62242203, 62242372], [62240178, 62240319], [62236060, 62236144], [62235457, 62235714], [62233822, 62234177], [62231233, 62231455], [62229684, 62229891], [62228924, 62229074], [62228370, 62228520], [62225321, 62225487], [62224488, 62224982], [62221621, 62221750], [62220801, 62220965], [62220266, 62220478], [62217931, 62218075], [62216312, 62216455], [62212217, 62212271], [62211821, 62212043], [62210191, 62210368], [62207251, 62208856]]]	8	32.66409024302545	0.0058111841478517	0.0211218754435183
ENSMUSG00000018750.15:B1	ENSMUSG00000018750.15:B1	ENSMUSG00000018750.15	Zbtb4	alternative first region	alternative acceptor; multi-exon skipping	chr11	+	null	[69666231, 69666268]	3	[[], [[69656737, 69656911], [69666201, 69666231]], [[69656747, 69656911], [69666201, 69666231]]]	4	16.908000995659254	0.0078107565275608	0.0267030891301629
ENSMUSG00000018750.15:B2	ENSMUSG00000018750.15:B2	ENSMUSG00000018750.15	Zbtb4	cassette exon	cassette exon	chr11	+	[69666231, 69666268]	[69666687, 69667715]	2	[[], [[69666627, 69666687]]]	4	9.788543763199698	0.0090714375708706	0.0305410780977704
ENSMUSG00000019302.17:B2	ENSMUSG00000019302.17:B2	ENSMUSG00000019302.17	Atp6v0a1	cassette exon	cassette exon	chr11	+	[100911879, 100912008]	[100917506, 100917589]	2	[[], [[100917485, 100917506]]]	6	16.34347925098377	0.0041526596796519	0.0161679888510667
ENSMUSG00000019852.8:B1	ENSMUSG00000019852.8:B1	ENSMUSG00000019852.8	Arfgef3	alternative first region	cassette exon	chr10	-	[18619288, 18619501]	null	2	[[], [[18619501, 18619697]]]	5	25.69520470060905	0.0001239925604463	0.0015180391809236
ENSMUSG00000019856.15:B1	ENSMUSG00000019856.15:B1	ENSMUSG00000019856.15	Fam184a	alternative first region	multi-exon skipping	chr10	-	[53523078, 53523176]	null	2	[[], [[53626808, 53627219], [53574584, 53575439], [53573219, 53573355], [53570790, 53570972], [53566046, 53566244], [53560331, 53560454], [53553826, 53553988], [53551231, 53551353], [53550661, 53550812], [53531062, 53531275], [53528395, 53528549], [53525197, 53525325], [53523667, 53523852], [53523176, 53523225]]]	5	13.439424945882251	0.0040917544947303	0.0160162961650872
ENSMUSG00000019971.11:B1	ENSMUSG00000019971.11:B1	ENSMUSG00000019971.11	Cep290	alternative first region	multi-exon skipping	chr10	+	null	[100324150, 100324270]	2	[[], [[100323419, 100323614], [100324140, 100324150]]]	4	21.172406317602537	0.0001259921884843	0.0015180391809236
ENSMUSG00000019971.11:B2	ENSMUSG00000019971.11:B2	ENSMUSG00000019971.11	Cep290	cassette exon	cassette exon	chr10	+	[100330762, 100330816]	[100331684, 100331837]	2	[[], [[100331502, 100331523]]]	4	12.231770973094427	0.0010079375078745	0.0049726778435581
ENSMUSG00000019986.18:B1	ENSMUSG00000019986.18:B1	ENSMUSG00000019986.18	Ahi1	alternative first region		chr10	+	null	[20917084, 20917140]	2	[[[20828445, 20828651], [20835510, 20835979], [20838963, 20839133], [20839571, 20839791], [20841415, 20841608], [20841824, 20841920], [20844886, 20845072], [20846747, 20846900], [20847922, 20848055], [20852895, 20853019], [20855278, 20855508], [20857222, 20857329], [20860203, 20860322], [20862868, 20862999], [20864442, 20864583], [20876404, 20876604], [20883650, 20883677], [20893811, 20893932]], [[20916718, 20916961]]]	7	85.00996063280576	0.000223164472216	0.0015647871063651
ENSMUSG00000020070.19:B1	ENSMUSG00000020070.19:B1	ENSMUSG00000020070.19	Rufy2	alternative first region	cassette exon	chr10	+	null	[62816040, 62816111]	2	[[], [[62816020, 62816040]]]	4	9.333375406137796	0.0114652891520725	0.0371395185791072
ENSMUSG00000020122.17:B1	ENSMUSG00000020122.17:B1	ENSMUSG00000020122.17	Egfr	alternative first region	cassette exon	chr11	+	null	[16702210, 16702570]	2	[[], [[16702202, 16702210]]]	2	4.164001970958431	0.0073522298539228	0.0255175982987399
ENSMUSG00000020181.19:B1	ENSMUSG00000020181.19:B1	ENSMUSG00000020181.19	Nav3	alternative first region		chr10	-	[109660433, 109660542]	null	2	[[[109667753, 109669082]], [[109835837, 109836080], [109739606, 109739724], [109738922, 109738975], [109719474, 109719547], [109716395, 109716579], [109702791, 109702860], [109699612, 109699752], [109688365, 109689395], [109677563, 109677679]]]	5	16.15335564158486	0.0008679479231246	0.0044166150030998
ENSMUSG00000020189.16:B1	ENSMUSG00000020189.16:B1	ENSMUSG00000020189.16	Osbpl8	alternative first region	cassette exon	chr10	+	null	[111000662, 111001057]	2	[[], [[111000612, 111000662]]]	2	4.809141040618135	0.0037728547934603	0.0150660412268003
ENSMUSG00000020220.17:B1	ENSMUSG00000020220.17:B1	ENSMUSG00000020220.17	Vps13d	alternative first region	cassette exon	chr4	-	[144917065, 144917236]	null	2	[[], [[144921488, 144921575]]]	5	13.30062811551007	0.0048357098574085	0.0180932757479929
ENSMUSG00000020262.16:B1	ENSMUSG00000020262.16:B1	ENSMUSG00000020262.16	Adarb1	alternative first region	cassette exon	chr10	-	[77253928, 77254099]	null	2	[[], [[77254099, 77254104]]]	6	18.315078027198865	0.0015819655922483	0.0071328625817578
