event_type	event_id	suppa_event_id
SE	200	ENSMUSG00000025656.18;SE:chrX:94156152-94174442:94174621-94240016:-
SE	201	ENSMUSG00000025656.18;SE:chrX:94174621-94209195:94209576-94210030:-
SE	202	ENSMUSG00000025656.18;SE:chrX:94174621-94209199:94209576-94210030:-
SE	206	ENSMUSG00000043549.14;SE:chrX:93402696-93403052:93403146-93405255:-
SE	207	ENSMUSG00000043929.17;SE:chrX:93279026-93285551:93285601-93296021:+
SE	211	ENSMUSG00000079509.11;SE:chrX:93145986-93157802:93157869-93166674:-
SE	212	ENSMUSG00000025059.17;SE:chrX:84748002-84749844:84749930-84754657:-
SE	213	ENSMUSG00000025059.17;SE:chrX:84780955-84782828:84782845-84783901:-
SE	214	ENSMUSG00000025059.17;SE:chrX:84789907-84793218:84793301-84797938:-
SE	221	ENSMUSG00000000003.16;SE:chrX:76886222-76886503:76886613-76888625:-
SE	225	ENSMUSG00000016382.16;SE:chrX:74843096-74843323:74843349-74844108:-
SE	226	ENSMUSG00000031196.14;SE:chrX:74331985-74339696:74339905-74360115:-
SE	227	ENSMUSG00000031262.13;SE:chrX:133208977-133209315:133209382-133209476:+
SE	228	ENSMUSG00000032750.14;SE:chrX:74032442-74033660:74033776-74043571:-
SE	233	ENSMUSG00000031399.16;SE:chrX:73434103-73434597:73434710-73436281:-
SE	234	ENSMUSG00000032806.14;SE:chrX:73414617-73416220:73416288-73416797:-
SE	237	ENSMUSG00000031392.19;SE:chrX:73057731-73059012:73059107-73060154:-
SE	240	ENSMUSG00000031392.19;SE:chrX:73061117-73061507:73061623-73061736:-
SE	241	ENSMUSG00000031392.19;SE:chrX:73061117-73061736:73061972-73063506:-
SE	246	ENSMUSG00000031388.15;SE:chrX:72961533-72963108:72963146-72963360:-
SE	247	ENSMUSG00000031388.15;SE:chrX:72961533-72963108:72963152-72963360:-
SE	249	ENSMUSG00000031389.18;SE:chrX:72949469-72949763:72949825-72950035:-
SE	267	ENSMUSG00000031376.16;SE:chrX:72598841-72603470:72603623-72613840:+
SE	273	ENSMUSG00000035776.15;SE:chrX:70484217-70484680:70484751-70494217:-
SE	274	ENSMUSG00000035776.15;SE:chrX:70484751-70493545:70493613-70494217:-
SE	275	ENSMUSG00000035776.15;SE:chrX:70493613-70494217:70494279-70536128:-
SE	278	ENSMUSG00000031337.17;SE:chrX:70343380-70345340:70345432-70346107:+
SE	279	ENSMUSG00000073139.10;SE:chrX:69506627-69508609:69508692-69510760:-
SE	281	ENSMUSG00000062170.13;SE:chrX:67805837-67807538:67807615-67815651:+
SE	282	ENSMUSG00000062170.13;SE:chrX:67807615-67812562:67812699-67815651:+
SE	296	ENSMUSG00000036109.18;SE:chrX:50212788-50215003:50215038-50217798:-
SE	297	ENSMUSG00000036109.18;SE:chrX:50228245-50253295:50253541-50294651:-
SE	298	ENSMUSG00000036198.13;SE:chrX:48586941-48587347:48587517-48587867:+
SE	299	ENSMUSG00000031109.17;SE:chrX:48100511-48102010:48102057-48102374:-
SE	305	ENSMUSG00000031105.17;SE:chrX:47713074-47714473:47714517-47718129:+
SE	307	ENSMUSG00000036916.14;SE:chrX:47632318-47632462:47632580-47636142:-
SE	318	ENSMUSG00000016150.16;SE:chrX:41731685-41737271:41737291-41746334:-
SE	332	ENSMUSG00000036502.15;SE:chrX:37314002-37315765:37315833-37321980:-
SE	333	ENSMUSG00000016308.14;SE:chrX:36138845-36145310:36145399-36146252:+
SE	334	ENSMUSG00000016308.14;SE:chrX:36145399-36146252:36146340-36146665:+
SE	335	ENSMUSG00000016308.14;SE:chrX:36145399-36146261:36146340-36146665:+
SE	343	ENSMUSG00000031093.15;SE:chrX:35273103-35273596:35273634-35275285:+
SE	344	ENSMUSG00000031093.15;SE:chrX:35333639-35339570:35339587-35339752:+
SE	345	ENSMUSG00000085489.8;SE:chrX:29631875-29632182:29632294-29633213:-
SE	346	ENSMUSG00000085489.8;SE:chrX:29632294-29632853:29633016-29633756:-
SE	347	ENSMUSG00000085489.8;SE:chrX:29632294-29632967:29633245-29633756:-
SE	348	ENSMUSG00000085489.8;SE:chrX:29632294-29633213:29633245-29633756:-
SE	349	ENSMUSG00000085489.8;SE:chrX:29633842-29649253:29649421-29664863:-
SE	350	ENSMUSG00000096911.8;SE:chrX:28446853-28462285:28462453-28477862:+
SE	351	ENSMUSG00000096911.8;SE:chrX:28477948-28478459:28478491-28479410:+
SE	352	ENSMUSG00000096911.8;SE:chrX:28477948-28478459:28478737-28479410:+
SE	353	ENSMUSG00000096911.8;SE:chrX:28477948-28478688:28478851-28479410:+
SE	354	ENSMUSG00000096911.8;SE:chrX:28478491-28479410:28479522-28479829:+
SE	358	ENSMUSG00000031060.17;SE:chrX:20502153-20503665:20503895-20505672:+
SE	364	ENSMUSG00000060090.17;SE:chrX:20231067-20231279:20231437-20243120:+
SE	366	ENSMUSG00000025040.14;SE:chrX:17424250-17424920:17425048-17434272:-
SE	372	ENSMUSG00000040363.16;SE:chrX:11921394-11921878:11921931-11922583:-
SE	374	ENSMUSG00000023165.14;SE:chrX:8325443-8327095:8327271-8327843:-
SE	376	ENSMUSG00000031169.14;SE:chrX:8067808-8067897:8067911-8069265:-
SE	377	ENSMUSG00000031169.14;SE:chrX:8067808-8067897:8067911-8069398:-
SE	378	ENSMUSG00000031169.14;SE:chrX:8067808-8069265:8069282-8069398:-
SE	379	ENSMUSG00000031169.14;SE:chrX:8067911-8069265:8069282-8069398:-
SE	381	ENSMUSG00000039201.11;SE:chrX:8023017-8038977:8039131-8040440:-
SE	386	ENSMUSG00000039382.13;SE:chrX:7590337-7590426:7590530-7592170:+
SE	392	ENSMUSG00000050089.14;SE:chrX:6933895-6934419:6934594-6936670:+
SE	574	ENSMUSG00000031201.18;SE:chrX:74481597-74490762:74490893-74491409:+
SE	643	ENSMUSG00000051579.11;SE:chrX:135071798-135072169:135072270-135072385:-
SE	1049	ENSMUSG00000046699.15;SE:chrX:63316715-63317625:63317696-63320406:-
SE	1188	ENSMUSG00000031342.18;SE:chrX:165128077-165136561:165136680-165155634:+
SE	1190	ENSMUSG00000031342.18;SE:chrX:165166996-165168387:165168477-165169948:+
SE	1747	ENSMUSG00000086877.9;SE:chrX:20834047-20838517:20838585-20851665:+
SE	2252	ENSMUSG00000050071.9;SE:chrX:135115332-135115653:135115729-135116086:-
SE	2253	ENSMUSG00000050071.9;SE:chrX:135115332-135115695:135115729-135116086:-
SE	2392	ENSMUSG00000085396.9;SE:chrX:49647261-49649686:49649883-49651557:-
SE	2393	ENSMUSG00000085396.9;SE:chrX:49647261-49651557:49651831-49653690:-
SE	2435	ENSMUSG00000085396.9;SE:chrX:49704392-49709552:49709681-49715314:-
SE	2436	ENSMUSG00000085396.9;SE:chrX:49715386-49716084:49716127-49719768:-
SE	2437	ENSMUSG00000085396.9;SE:chrX:49715386-49716084:49716186-49719768:-
SE	2792	ENSMUSG00000039521.14;SE:chrX:7446085-7451810:7451876-7452051:+
SE	2793	ENSMUSG00000039521.14;SE:chrX:7446085-7452051:7452133-7452573:+
SE	2794	ENSMUSG00000039521.14;SE:chrX:7452800-7453313:7453417-7453514:+
SE	2795	ENSMUSG00000039521.14;SE:chrX:7455194-7455335:7455415-7457612:+
SE	2832	ENSMUSG00000031012.18;SE:chrX:13415600-13417186:13417221-13418612:-
SE	2835	ENSMUSG00000031012.18;SE:chrX:13417221-13418612:13418680-13421117:-
SE	2877	ENSMUSG00000071753.14;SE:chrX:60178402-60216591:60216648-60218734:+
SE	3028	ENSMUSG00000093817.8;SE:chrX:27438864-27454299:27454467-27469877:+
SE	3029	ENSMUSG00000093817.8;SE:chrX:27469963-27470474:27470506-27471425:+
SE	3030	ENSMUSG00000093817.8;SE:chrX:27469963-27470474:27470752-27471425:+
SE	3031	ENSMUSG00000093817.8;SE:chrX:27469963-27470703:27470866-27471425:+
SE	3032	ENSMUSG00000093817.8;SE:chrX:27470506-27471425:27471537-27471844:+
SE	3443	ENSMUSG00000031297.15;SE:chrX:100127880-100128427:100128584-100128878:-
SE	3550	ENSMUSG00000109350.2;SE:chr7:19407538-19410647:19410809-19415230:-
SE	3551	ENSMUSG00000060621.7;SE:chr7:19252746-19253727:19254176-19255859:+
SE	3552	ENSMUSG00000086316.9;SE:chrX:152508837-152509939:152510028-152511858:+
SE	3553	ENSMUSG00000086316.9;SE:chrX:152508837-152511858:152511935-152524036:+
SE	3559	ENSMUSG00000059689.16;SE:chr6:117818229-117818969:117819075-117820214:+
SE	3562	ENSMUSG00000037936.16;SE:chr5:125354929-125358169:125358297-125360963:-
SE	3578	ENSMUSG00000058174.8;SE:chr3:37769284-37770271:37770381-37778352:-
SE	3579	ENSMUSG00000058174.8;SE:chr3:37769284-37770271:37770487-37778352:-
SE	3581	ENSMUSG00000117853.2;SE:chr7:12893709-12904129:12904365-12911126:+
SE	3582	ENSMUSG00000090762.3;SE:chr7:12444319-12444941:12444977-12446877:-
SE	3584	ENSMUSG00000096735.4;SE:chr7:11905349-11906132:11906186-11906539:+
SE	3585	ENSMUSG00000095864.3;SE:chr7:11770829-11774273:11774430-11775277:+
SE	3586	ENSMUSG00000032436.18;SE:chr9:114587954-114590975:114591073-114592287:-
SE	3593	ENSMUSG00000029992.15;SE:chr6:87028010-87030184:87030242-87030733:+
SE	3595	ENSMUSG00000029992.15;SE:chr6:87037582-87037767:87037814-87040787:+
SE	3596	ENSMUSG00000036353.14;SE:chr3:59127517-59127640:59127704-59134872:-
SE	3597	ENSMUSG00000036353.14;SE:chr3:59127517-59134872:59135002-59170195:-
SE	3602	ENSMUSG00000029175.18;SE:chr5:30805442-30808346:30808722-30812092:+
SE	3603	ENSMUSG00000027642.16;SE:chr2:157125697-157131448:157131543-157132457:+
SE	3604	ENSMUSG00000027642.16;SE:chr2:157163792-157165143:157165190-157167631:+
SE	3605	ENSMUSG00000025774.15;SE:chr1:18207276-18211640:18211756-18216068:-
SE	3610	ENSMUSG00000000605.10;SE:chr7:7299068-7299723:7299877-7301691:-
SE	3615	ENSMUSG00000055150.16;SE:chr7:6366438-6373958:6374104-6374305:+
SE	3616	ENSMUSG00000055150.16;SE:chr7:6376252-6378518:6378613-6381208:+
SE	3618	ENSMUSG00000044876.16;SE:chr7:6175573-6176981:6177100-6186861:+
SE	3619	ENSMUSG00000044876.16;SE:chr7:6187201-6191133:6191241-6192405:+
SE	3624	ENSMUSG00000030881.16;SE:chr7:105286485-105287026:105287247-105287416:-
SE	3626	ENSMUSG00000078865.9;SE:chr2:177263606-177266762:177266816-177269923:-
SE	3638	ENSMUSG00000030428.17;SE:chr7:4136216-4136356:4136401-4136662:+
SE	3644	ENSMUSG00000055541.19;SE:chr7:4013631-4013729:4013845-4031706:-
SE	3645	ENSMUSG00000055541.19;SE:chr7:4013631-4013729:4013845-4058917:-
SE	3646	ENSMUSG00000055541.19;SE:chr7:4013631-4031706:4032035-4058917:-
SE	3647	ENSMUSG00000055541.19;SE:chr7:4013845-4031706:4032035-4058917:-
SE	3648	ENSMUSG00000035585.17;SE:chr7:3698620-3698712:3698832-3703527:+
SE	3650	ENSMUSG00000054594.14;SE:chr7:3614882-3618483:3618515-3619040:-
SE	3651	ENSMUSG00000023473.14;SE:chr9:108715764-108715959:108715973-108717199:+
SE	3655	ENSMUSG00000078816.11;SE:chr7:3363057-3367376:3367528-3368047:+
SE	3657	ENSMUSG00000097425.4;SE:chr7:23674233-23675420:23675515-23682171:+
SE	3658	ENSMUSG00000097425.4;SE:chr7:23682288-23682520:23682644-23683386:+
SE	3660	ENSMUSG00000029656.14;SE:chr4:104641728-104643998:104644195-104647672:+
SE	3666	ENSMUSG00000039958.18;SE:chr6:149043202-149044104:149044213-149045513:+
SE	3667	ENSMUSG00000039958.18;SE:chr6:149043202-149044104:149044213-149045532:+
SE	3668	ENSMUSG00000039958.18;SE:chr6:149043202-149045513:149045940-149048656:+
SE	3669	ENSMUSG00000039958.18;SE:chr6:149043202-149045532:149045940-149048656:+
SE	3681	ENSMUSG00000030306.15;SE:chr6:148173017-148186355:148186468-148196013:-
SE	3690	ENSMUSG00000016487.16;SE:chr6:146899779-146901160:146901192-146902439:+
SE	3694	ENSMUSG00000098108.9;SE:chr3:106856838-106950387:106950469-106962798:-
SE	3695	ENSMUSG00000098108.9;SE:chr3:106962902-106973924:106974022-106999055:-
SE	3697	ENSMUSG00000016995.18;SE:chr2:164238984-164239084:164239206-164242448:-
SE	3698	ENSMUSG00000016995.18;SE:chr2:164239206-164241652:164241774-164242448:-
SE	3704	ENSMUSG00000051504.19;SE:chr7:55418469-55418635:55418913-55419080:+
SE	3705	ENSMUSG00000051504.19;SE:chr7:55418913-55419080:55419127-55421351:+
SE	3708	ENSMUSG00000015766.15;SE:chr6:137516399-137568416:137568490-137626050:-
SE	3709	ENSMUSG00000030400.18;SE:chr7:19117946-19118024:19118086-19118227:+
SE	3719	ENSMUSG00000030205.16;SE:chr6:135083263-135084729:135084796-135093011:-
SE	3720	ENSMUSG00000032641.19;SE:chr6:134847406-134854180:134854297-134863854:-
SE	3721	ENSMUSG00000032641.19;SE:chr6:134847406-134854180:134854297-134864593:-
SE	3723	ENSMUSG00000032641.19;SE:chr6:134847445-134854180:134854297-134864593:-
SE	3725	ENSMUSG00000032641.19;SE:chr6:134847406-134863854:134863899-134864593:-
SE	3726	ENSMUSG00000032641.19;SE:chr6:134854297-134863854:134863899-134864593:-
SE	3727	ENSMUSG00000032641.19;SE:chr6:134864748-134869162:134869350-134874125:-
SE	3734	ENSMUSG00000026885.14;SE:chr2:35685614-35707735:35707833-35779277:-
SE	3739	ENSMUSG00000007908.15;SE:chr9:75963841-75979909:75980004-75981950:+
SE	3742	ENSMUSG00000007908.15;SE:chr9:75963841-75991585:75991773-76037594:+
SE	3744	ENSMUSG00000026028.13;SE:chr1:58943341-58945865:58945970-58947682:-
SE	3748	ENSMUSG00000096472.3;SE:chr9:21200628-21201721:21201772-21202105:-
SE	3749	ENSMUSG00000030167.16;SE:chr6:129654285-129654728:129654778-129655259:-
SE	3750	ENSMUSG00000030167.16;SE:chr6:129654778-129655259:129655360-129655687:-
SE	3752	ENSMUSG00000027763.14;SE:chr3:60408844-60436177:60437225-60503015:+
SE	3753	ENSMUSG00000027763.14;SE:chr3:60503185-60511115:60511315-60520684:+
SE	3755	ENSMUSG00000027763.14;SE:chr3:60520941-60522104:60522157-60523041:+
SE	3757	ENSMUSG00000027763.14;SE:chr3:60523194-60528844:60528879-60529567:+
SE	3758	ENSMUSG00000027763.14;SE:chr3:60523194-60528844:60528879-60532545:+
SE	3759	ENSMUSG00000027763.14;SE:chr3:60523194-60529567:60529661-60532545:+
SE	3760	ENSMUSG00000027763.14;SE:chr3:60528879-60529567:60529661-60532545:+
SE	3761	ENSMUSG00000030159.16;SE:chr6:129374641-129377023:129377118-129378435:+
SE	3762	ENSMUSG00000030159.16;SE:chr6:129378560-129378705:129378856-129380524:+
SE	3763	ENSMUSG00000030156.6;SE:chr6:129247151-129248298:129248420-129252185:-
SE	3765	ENSMUSG00000059659.9;SE:chr6:128415810-128416018:128416350-128416478:+
SE	3766	ENSMUSG00000059659.9;SE:chr6:128416659-128449700:128451106-128465854:+
SE	3770	ENSMUSG00000001518.13;SE:chr6:128393261-128394580:128394675-128401681:-
SE	3781	ENSMUSG00000030352.16;SE:chr6:128011208-128060345:128060444-128120477:-
SE	3783	ENSMUSG00000099696.8;SE:chr9:46825044-46825381:46825520-46831829:+
SE	3786	ENSMUSG00000029095.18;SE:chr5:35985526-35989030:35989086-35990397:+
SE	3788	ENSMUSG00000029095.18;SE:chr5:35994441-35997134:35997166-35998625:+
SE	3790	ENSMUSG00000029095.18;SE:chr5:35998745-36000512:36000610-36006148:+
SE	3791	ENSMUSG00000029095.18;SE:chr5:35998745-36006148:36006249-36006860:+
SE	3794	ENSMUSG00000029095.18;SE:chr5:36006249-36006860:36006913-36014472:+
SE	3800	ENSMUSG00000120430.1;SE:chr6:125410200-125415224:125415344-125434611:+
SE	3806	ENSMUSG00000030922.13;SE:chr7:119495113-119499334:119499531-119509027:+
SE	3815	ENSMUSG00000004266.16;SE:chr6:124709457-124709701:124709823-124715462:-
SE	3818	ENSMUSG00000036686.17;SE:chr8:84870138-84870237:84870371-84870587:-
SE	3830	ENSMUSG00000030142.11;SE:chr6:123263318-123263391:123263477-123265853:-
SE	3835	ENSMUSG00000030116.15;SE:chr6:122497887-122498852:122498887-122501446:+
SE	3836	ENSMUSG00000030116.15;SE:chr6:122498887-122501446:122501469-122502910:+
SE	3837	ENSMUSG00000030116.15;SE:chr6:122502997-122503746:122503819-122505278:+
SE	3839	ENSMUSG00000029823.17;SE:chr6:38528843-38531915:38531998-38547445:+
SE	3840	ENSMUSG00000029823.17;SE:chr6:38570404-38575720:38575749-38580212:+
SE	3842	ENSMUSG00000119973.1;SE:chr6:121118739-121119659:121119873-121119964:+
SE	3844	ENSMUSG00000045962.17;SE:chr6:119920827-119921662:119921745-119923198:-
SE	3845	ENSMUSG00000045962.17;SE:chr6:119928956-119929646:119929930-119933032:-
SE	3846	ENSMUSG00000045962.17;SE:chr6:119929930-119930732:119931193-119933032:-
SE	3847	ENSMUSG00000045962.17;SE:chr6:119937685-119939358:119940593-119945437:-
SE	3848	ENSMUSG00000045962.17;SE:chr6:119940593-119942626:119942883-119945437:-
SE	3857	ENSMUSG00000051331.17;SE:chr6:118604531-118607186:118607392-118614691:-
SE	3858	ENSMUSG00000051331.17;SE:chr6:118604531-118607360:118607392-118614691:-
SE	3859	ENSMUSG00000051331.17;SE:chr6:118604531-118607360:118607392-118615388:-
SE	3860	ENSMUSG00000051331.17;SE:chr6:118604531-118614691:118614774-118615388:-
SE	3861	ENSMUSG00000051331.17;SE:chr6:118607392-118614691:118614774-118615388:-
SE	3862	ENSMUSG00000051331.17;SE:chr6:118614774-118615388:118615471-118628909:-
SE	3864	ENSMUSG00000051331.17;SE:chr6:118647417-118651307:118651366-118651516:-
SE	3865	ENSMUSG00000051331.17;SE:chr6:118647417-118651307:118651366-118652781:-
SE	3866	ENSMUSG00000051331.17;SE:chr6:118647417-118651516:118651575-118652781:-
SE	3867	ENSMUSG00000051331.17;SE:chr6:118651366-118651516:118651575-118652781:-
SE	3868	ENSMUSG00000051331.17;SE:chr6:118690308-118692864:118692938-118711812:-
SE	3873	ENSMUSG00000030145.15;SE:chr6:118410392-118430807:118430848-118431638:-
SE	3876	ENSMUSG00000042079.14;SE:chr6:117894559-117896060:117896120-117900669:+
SE	3896	ENSMUSG00000038143.17;SE:chr8:47639607-47644668:47644721-47644874:-
SE	3898	ENSMUSG00000074570.15;SE:chr2:172269845-172271562:172271639-172274153:+
SE	3899	ENSMUSG00000030323.14;SE:chr6:115858584-115859608:115859784-115861297:+
SE	3900	ENSMUSG00000059900.15;SE:chr6:115713397-115715909:115715983-115718502:-
SE	3902	ENSMUSG00000002983.18;SE:chr7:19353767-19356851:19356859-19361848:-
SE	3918	ENSMUSG00000034023.17;SE:chr6:113562504-113563171:113563209-113564343:+
SE	3921	ENSMUSG00000031174.18;SE:chrX:10032515-10042242:10043120-10044510:-
SE	3924	ENSMUSG00000043088.17;SE:chr6:113435987-113436321:113436336-113439240:+
SE	3925	ENSMUSG00000043088.17;SE:chr6:113436336-113437127:113437185-113439240:+
SE	3926	ENSMUSG00000073968.5;SE:chr7:102328343-102328881:102328903-102329344:-
SE	3939	ENSMUSG00000006673.15;SE:chr9:108394439-108395902:108396025-108405788:+
SE	3940	ENSMUSG00000006673.15;SE:chr9:108406117-108410786:108411817-108418887:+
SE	3941	ENSMUSG00000030254.17;SE:chr6:112597865-112605423:112605485-112621549:-
SE	3942	ENSMUSG00000030254.17;SE:chr6:112621708-112626556:112626798-112642239:-
SE	3943	ENSMUSG00000030254.17;SE:chr6:112626798-112641057:112641134-112642239:-
SE	3945	ENSMUSG00000001964.15;SE:chrX:73298639-73298814:73298921-73299059:+
SE	3946	ENSMUSG00000001964.15;SE:chrX:73299482-73300484:73300530-73304388:+
SE	3951	ENSMUSG00000031131.12;SE:chrX:56134841-56135636:56135651-56137608:+
SE	3967	ENSMUSG00000013523.14;SE:chr2:170220849-170226109:170226246-170229083:-
SE	3969	ENSMUSG00000099338.3;SE:chr8:13251293-13251688:13251725-13257364:+
SE	3970	ENSMUSG00000030061.17;SE:chr6:97180555-97182267:97182308-97182494:-
SE	3977	ENSMUSG00000045095.17;SE:chr6:93655983-93657770:93657858-93659933:-
SE	3978	ENSMUSG00000045095.17;SE:chr6:93663856-93670989:93671156-93674175:-
SE	3979	ENSMUSG00000045095.17;SE:chr6:93663856-93670989:93671189-93674175:-
SE	3980	ENSMUSG00000045095.17;SE:chr6:93663856-93670989:93671192-93674175:-
SE	3981	ENSMUSG00000045095.17;SE:chr6:93678362-93681258:93681341-93684985:-
SE	3984	ENSMUSG00000045095.17;SE:chr6:93737746-93746489:93746524-93750588:-
SE	3996	ENSMUSG00000030098.16;SE:chr6:91759440-91759764:91759886-91760551:-
SE	4006	ENSMUSG00000014837.16;SE:chr8:106012501-106015401:106015797-106016036:-
SE	4024	ENSMUSG00000056724.16;SE:chr9:110468931-110470479:110470559-110470839:-
SE	4026	ENSMUSG00000054426.13;SE:chr3:115675487-115679863:115680024-115681425:-
SE	4028	ENSMUSG00000054426.13;SE:chr3:115675487-115679971:115680024-115681425:-
SE	4032	ENSMUSG00000079477.10;SE:chr6:87990680-87991568:87991702-87992614:-
SE	4033	ENSMUSG00000079477.10;SE:chr6:87990680-87992614:87992700-87996618:-
SE	4041	ENSMUSG00000030047.15;SE:chr6:87469247-87472895:87473094-87509808:-
SE	4042	ENSMUSG00000058402.15;SE:chr7:29559518-29560441:29560493-29572317:+
